Topic,Words,Frequency,Timestamp
84,"cortical, thickness, cortical thickness, matter, volume",11,2022
85,"masculinity, gay men, masochism, debut, gay",11,2022
86,"selfharm, harm, selfharm suicide, attempt, suicide attempt",18,2022
87,"schizophrenia, psychotic, psychosis, social functioning, deficit",21,2022
88,"neural network, node, helpseeking, network approach, edge",7,2022
89,"bully, bully victimization, bullying, chr, cyberbullying",11,2022
90,"gut, microbiome, axis, visceral, ibs",13,2022
91,"nurse, workplace, burnout, healthcare, worker",8,2022
92,"genetic, gene, val, polymorphism, genotype",19,2022
93,"ocd, obsessivecompulsive, oxtr, thalamic, obsessive compulsive",8,2022
94,"reward, decisionmaking, striatum, task, reward sensitivity",18,2022
95,"sibling, ssa, incest, intrafamilial, disclosure",8,2022
96,"addiction, internet addiction, internet, smartphone, ia",7,2022
97,"cop strategy, cop style, symptomology, religious, style",6,2022
98,"genital, infection, lesion, rare, transmission",13,2022
99,"adhd, hyperactivity, attentiondeficit, deficit hyperactivity, attentiondeficit hyperactivity",12,2022
100,"medium, social medium, coverage, metoo, news",12,2022
101,"pa, alienation, parental education, divorce, parental marital",14,2022
102,"deprivation, threat deprivation, deprivation threat, reproductive strategy, dimensional",11,2022
103,"racial, black, racial discrimination, discrimination, american",8,2022
104,"hr ci, hr, medicaid, ci ci, apr ci",12,2022
-1,"attitude, shame, intimate, intimate partner, partner violence",588,2023
0,"mouse, rat, el, maternal separation, separation",130,2023
1,"ace, experience ace, household dysfunction, ace exposure, aceiq",119,2023
2,"posttraumatic ptsd, emdr, traumafocused, ptsd severity, reprocess",61,2023
3,"csa, csa survivor, survivor csa, experience csa, csa experience",63,2023
4,"ipv, intimate partner, intimate, partner violence, violence ipv",49,2023
5,"injury, fracture, infant, head, pediatric",59,2023
6,"attachment, attachment style, style, insecure, insecure attachment",58,2023
7,"covid, pandemic, covid pandemic, lockdown, impact covid",64,2023
8,"worker, protection, social work, welfare, barrier",47,2023
9,"offender, criminal, crime, offend, juvenile",35,2023
10,"methylation, dna, dna methylation, epigenetic, gene",37,2023
11,"cortisol, axis, hpa, hpa axis, hair",43,2023
12,"attempt, suicide attempt, suicidal, ideation, suicidal thought",35,2023
13,"cm, relationship cm, cm exposure, form cm, history cm",40,2023
14,"connordavidson, connordavidson resilience, relationship resilience, grandparent, cdrisc",30,2023
15,"hiv, live hiv, adherence, hiv aid, aid",26,2023
16,"cannabis, drug, opioid, prescription, sud",25,2023
17,"nssi, selfinjury, nonsuicidal, nonsuicidal selfinjury, selfinjury nssi",33,2023
18,"psychosis, psychotic, fep, firstepisode psychosis, firstepisode",36,2023
19,"class, latent class, latent, lca, ace",40,2023
20,"church, catholic, clergy, religious, crisis",23,2023
21,"bpd, borderline, borderline personality, personality bpd, impulsivity",28,2023
22,"rape, perpetrator, myth, rape myth, assault",30,2023
23,"mdd, major depressive, depressive mdd, gyrus, hcs",38,2023
24,"interviewer, investigative, forensic interview, forensic, feedback",29,2023
25,"pain, chronic pain, pelvic pain, pelvic, catastrophizing",30,2023
26,"eat, ed, binge eat, binge, eating",31,2023
27,"sleep, sleep quality, sleep disturbance, disturbance, sleep duration",26,2023
28,"connectivity, functional, functional connectivity, restingstate, restingstate functional",25,2023
29,"bd, bipolar, mood, bipolar bd, episode",31,2023
30,"emotion regulation, dysregulation, emotion dysregulation, regulation strategy, suppression",29,2023
31,"suicidal ideation, suicidal, ideation, character, relationship suicidal",23,2023
32,"psychometric, psychometric property, property, internal consistency, convergent",22,2023
33,"dissociation, dissociative, dissociative experience, depersonalization, dissociative identity",25,2023
34,"violence exposure, genderbased, genderbased violence, exposure violence, family violence",29,2023
35,"disability, intellectual, intellectual disability, disabled, id",22,2023
36,"imagebased, nonconsensual, image, revenge, pornography",27,2023
37,"parentchild, autistic, foster parent, parenting, foster",20,2023
38,"sport, athlete, coach, harassment, organization",18,2023
39,"mother, maternal, intergenerational, transmission, maternal depression",27,2023
40,"depression anxiety, anxiety depression, separation anxiety, gad, anxiety depressive",27,2023
41,"internalize, externalize, externalize problem, internalize externalize, internalize problem",15,2023
42,"college, college student, exchange, academic, leftbehind experience",10,2023
43,"traumainformed, traumainformed care, traumainformed practice, professional, educator",20,2023
44,"elder, mistreatment, elderly, financial, caregiver",19,2023
45,"foster, foster care, outofhome, placement, outofhome care",16,2023
46,"perceive social, pollution, cumulative event, social relationship, role social",15,2023
47,"memory, false, autobiographical, verbal memory, autobiographical memory",17,2023
48,"teacher, attitude, classroom, pupil, educator",22,2023
49,"contraception, gynecological, woman experience, reserve, menopausal",23,2023
50,"personality trait, trait, personality pathology, pathology, personality traits",13,2023
51,"disclosure, disclose, csa, delay, tell",23,2023
52,"selfesteem, rosenberg, rosenberg selfesteem, role selfesteem, jealousy",23,2023
53,"growth, mortality, ptg, adverse event, asthma",25,2023
54,"veteran, military, combat, military veteran, military service",21,2023
55,"psychotherapy, family history, pet, history depression, benzodiazepine",16,2023
56,"cyberbullying victimization, polyvictimization, cyberbullying, victimization experience, type victimization",24,2023
57,"young people, ownership, gun, people experience, friend",24,2023
58,"inflammation, il, inflammatory, cytokine, interleukin",17,2023
59,"intimate partner, intimate, partner violence, coercive, dot",22,2023
60,"cardiovascular, disease, reactivity, diabetes, type diabetes",23,2023
61,"subjective wellbeing, hedonic, cse, subjective, resilience wellbeing",16,2023
62,"mindfulness, satisfaction, couple, relationship satisfaction, relationship quality",23,2023
63,"executive, executive function, memory, work memory, ef",16,2023
64,"csam, material csam, digital, dark, exploitation",18,2023
65,"ct, comt, cortical, cortical thickness, thickness",15,2023
66,"drink, drinking, aud, consumption, fasd",17,2023
67,"alexithymia, toronto, toronto alexithymia, feeling, difficulty identify",14,2023
68,"pregnancy, pregnant, teenage pregnancy, postpartum, teenage",19,2023
69,"prevention program, schoolbased, skill, implementation, programme",15,2023
70,"ptg, inquiry, reintegration, growth, incest",18,2023
71,"domestic, domestic violence, care program, witness domestic, witness",13,2023
72,"aggression, relational aggression, aggressive, gaslighting, relational",15,2023
73,"caregiver, caregiver support, family caregiver, caregiver experience, caregiverchild",19,2023
74,"infant, maternal, motherinfant, mother, bonding",15,2023
75,"family member, incest, family function, family environment, family structure",17,2023
76,"narrative, autonomy, conception, lawyer, story",19,2023
77,"aor ci, aor, ci aor, ethiopia, housing",10,2023
78,"selfcompassion, compassion, shame, mindfulness, harsh parent",17,2023
79,"latent profile, latent, profile identify, subgroup, gang",20,2023
80,"date violence, perpetration, dv, violence victimization, couple",15,2023
81,"childbirth, maternity, mistreatment, obstetric, facility",23,2023
82,"cptsd, icd, ptsd cptsd, dso, complex posttraumatic",14,2023
83,"frailty, allostatic load, allostatic, load, experience adverse",16,2023
84,"cortical, matter, thickness, cortical thickness, gray matter",15,2023
85,"stigma, men woman, msm, provider, methamphetamine",13,2023
86,"selfharm, harm, dual, autistic trait, autistic",13,2023
87,"schizophrenia, separation anxiety, schizophrenia spectrum, aggressive, whoqolbref",8,2023
88,"insomnia, node, social network, neural network, central",14,2023
89,"bully, bullying, bully victimization, perpetration, workplace",17,2023
90,"gut, microbiome, gut microbiome, ibs, axis",11,2023
91,"workplace, nurse, healthcare, healthcare worker, worker",14,2023
92,"genetic, gene, polymorphism, aspd, variation",7,2023
93,"ocd, obsessivecompulsive, contamination, compulsive, obsessive compulsive",16,2023
94,"reward, task, neural, processing, responsiveness",16,2023
95,"sibling, ssa, incest, intrafamilial, harmful",15,2023
96,"addiction, internet, internet addiction, game, ia",17,2023
97,"cop style, religious, cop strategy, style, anger",9,2023
98,"vaginal, infection, visit, sti, genital",11,2023
99,"adhd, hyperactivity, deficit hyperactivity, attention deficit, hyperactivity adhd",11,2023
100,"medium, social medium, news, echo, metoo",9,2023
101,"sickness, absence, dysfunctional, ego, responsiveness",6,2023
102,"deprivation, threat deprivation, dimensional, deprivation threat, mindset",15,2023
103,"racial, black, racial ethnic, ethnic, white",13,2023
104,"multitype, rr ci, rr, mortality, australian",8,2023
-1,"ipv, intimate, attitude, partner violence, intimate partner",651,2024
0,"mouse, el, rat, maternal separation, separation",114,2024
1,"ace, experience ace, household dysfunction, ace exposure, relationship ace",151,2024
2,"emdr, traumafocused, posttraumatic ptsd, tfcbt, psychotherapy",66,2024
3,"csa, csa survivor, survivor csa, experience csa, perpetrator",54,2024
4,"ipv, intimate partner, intimate, partner violence, violence ipv",47,2024
5,"injury, fracture, head, infant, pediatric",50,2024
6,"attachment, insecure, attachment style, style, insecure attachment",51,2024
7,"covid, pandemic, covid pandemic, lockdown, pandemicrelated",45,2024
8,"worker, social worker, social work, welfare, protection",44,2024
9,"offender, offend, juvenile, offense, crime",40,2024
10,"methylation, dna, dna methylation, epigenetic, gene",41,2024
11,"cortisol, hpa, axis, hpa axis, hair",26,2024
12,"attempt, suicide attempt, suicidal, ideation, attempt suicide",38,2024
13,"cm, cm experience, mdd, cm exposure, history cm",56,2024
14,"role resilience, family resilience, resilience depression, connordavidson, connordavidson resilience",32,2024
15,"hiv, live hiv, hiv aid, infection, aid",37,2024
16,"drug, cannabis, opioid, misuse, psychoactive substance",35,2024
17,"nssi, selfinjury, nonsuicidal, nonsuicidal selfinjury, selfinjury nssi",54,2024
