Topic,Count,Name,Representation,Representative_Docs
22,187,22_rape_perpetrator_assault_myth,"['rape', 'perpetrator', 'assault', 'myth', 'rape myth', 'victimsurvivors', 'police', 'victim perpetrator', 'blame', 'crime', 'myth acceptance', 'acceptance']","['examine role prior victimization perpetrator identity correlate rape myth acceptance indian attempt address widely under-explained phenomenon rape myth acceptance rma literate woman india select examine different determinant rma explore important correlate rma woman stepwise regression reveal impact desire rejection sensitivity loneliness neuroticism stability rma imply woman four construct run chance endorse rape myth eliminate construct online pornography usage owe non-significant impact rma reveal history prior victimization rape myth endorse woman reflect identity perpetrator woman prior victimization history perpetrate know person last experienced assault stranger perpetrator woman victimize known perpetrator difference rma perpetrator identity know stranger perpetrator concretely add novel knowledge identify predict rape supportive attitude rape rape myth acceptance history victimization perpetrator identity sexual-abuse gender-based violence pornography consumption rejection sensitivity college-students public-health woman attitude desire aggression', 'unspoken victim rape incident police investigation south africa burden violence describe sexes woman minimal rape victim rape victim conduct incarcerated military personnel high-income describe epidemiology occurrence reporting rape involve victim south africa sa consist nationally representative docket maintain sa police service rape incident docket provide sociodemographic information victim suspect circumstance rape medicolegal service provide victim victim analyse stata test difference victim comprise victim difference occurrence report rape victim experience violent rape perpetrator likely arm often humiliate victim rape likely occur institutional setting incident rape earlier visible non-genital injury examination contrast rape involve known perpetrator occur home perpetrator likely act kindly victim incident parallel pattern rape circumstance see victim political commitment understand violence woman societal problem work violence men lag behind little understood rape need acknowledge vulnerability rape need addressed prevention effort end violence woman girl relation address violence men boys assault men coercion consequence violence', 'blame rape myth manifest defense attorney question testify since rape myth codify burt scholar endorse rape myth perceive victim less credible responsible rape perpetrator less responsible rape myth hinder successful adjudication rape influence jury assessment perpetrator guilt dinos focus assault involve victim scholar find victim young blame rape rape myth influence perception offenses even victim defense attorney csa motivate highlight rape myth csa current conduct content cross-examination allege csa determine defense attorney question rape myth look question force resistance motif lie victim precipitation character issue habitual drug find defense attorney commonly reference rape myth csa defense attorney line question referenced rape myth attorney ask least rape myth line question whether attorney ask different myth content question vary indicate defense attorney rape myth strategically undermine credibility csa adapt rape myth way plausible csa context policy form prevent prejudicial impact rape myth assault involve rape shield law adequately prevent impact csa prosecutor address rape myth csa rape myths attorney strategy victim credibility victim-perpetrator relationship false allegation respondent decision-making criminal impact prosecution attribution perception assessment']"
23,186,23_mdd_major depressive_depressive mdd_gyrus,"['mdd', 'major depressive', 'depressive mdd', 'gyrus', 'mdd healthy', 'connectivity', 'hcs', 'functional', 'ct', 'functional connectivity', 'antidepressant', 'magnetic']","['intrinsic abnormality major depressive resting-state functional magnetic resonance image objectivechildhood strong predictor major depressive mdd woman likely develop mdd men neural basis mdd remain unclear aim identify specific region mdd methodswe recruit mdd mdd without education level-matched healthy underwent resting-state functional magnetic resonance image mri activity evaluate amplitude low-frequency fluctuation alff functional connectivity fc perform area alter alff explore alteration fc pattern resultsthere alff leave middle frontal gyrus mfg right postcentral gyrus pocg mdd mdd without area alff discrepancy select seed fc fc leave mfg bilateral putamen gyrus alff value correlate severity conclusionour reveal abnormal intrinsic activity fc pattern mdd provide new possibility explore pathophysiology woman amplitude low-frequency fluctuation functional connectivity middle frontal gyrus postcentral gyrus putamen early-life mental-disorders working-memory connectivity emotion activation rumination', 'genetic overlap posttraumatic major depressive posttraumatic ptsd major depressive mdd commonly co-occurring consequence exposure genetic overlap complex phenotype suggest sensitivity heritable basis investigate whether sensitivity mdd reflect similar genetic component ptsd genetic correlation ptsd mdd reporting mdd reporting estimate recurrent mdd single-episode mdd genome-wide gwas summary statistic genetic correlation replicate ptsd genomics consortium million veteran program polygenic generate uk biobank meet criterion lifetime mdd investigate whether genetic load ptsd reporting genetic loading ptsd report mdd ci empirical-p ptsd genetically correlate recurrent mdd mdd reporting difference similar experience recurrent mdd experience singleepisode mdd chi point towards existence genetic variant sensitivity share ptsd mdd replication well power gwas need corroborate previous highlighting exposure key recurrent mdd posttraumatic major depressive genetics genetic correlation polygenic genome-wide event ptsd comorbidity', 'long-term spatio-temporal trend burden attributable major depressive global gbd cause multiple heavy burden major depressive mdd pose serious challenge worldwide past yet burden attributable mdd systematically know aim reveal long-term spatio-temporal trend burden attributable mdd global obtain mdd attributable global burden disease joinpoint regression temporal trend mdd burden age-period-cohort birth mdd utilize attributable fraction pafs estimate specific proportion mdd burden attribute give global mdd incident prevalent disability-adjusted dalys respectively global age-standardized asir age-standardized aspr age-standardized dalys asdr mdd asir aspr asdr woman men respectively high age-specific dalys occur woman men maximum increase trend age-specific occur live mdd mdd burden vary socio-demographic sdi region nation low-sdi central sub-saharan africa uganda high asir aspr asdr global pafs intimate partner violence ipv csa bully victimization bv respectively past global asir aspr asdr mdd trend burden mdd still serious multiple disparity mdd burden remarkably exist woman elderly live low-sdi region severe burden mdd susceptible mdd global mdd burden eliminate prevent ipv csa bv tailor strategies-and-measures different region demographic studywould urgently need eliminate impact modifiable mdd mitigate burden mdd age-period-cohort bullying victimization global burden disease intimate partner violence joinpoint regression major depressive intimate partner violence sexual-abuse epidemiology woman']"
24,185,24_interviewer_forensic interview_investigative_forensic,"['interviewer', 'forensic interview', 'investigative', 'forensic', 'rapport', 'feedback', 'police', 'witness', 'protocol', 'elicit', 'allege', 'ask']","['examine impact interviewer rejection follow know response forensic interview allege preschool-aged victim forensic interviewer reject know response either repeat question pressure provide different response change subsequent response primary current examine interviewer reaction follow preschool-aged alleged victim know response forensic interview response rejection interviewer reaction dichotomously cod either interviewer acceptance transition next logical question formulate question focus previously mention detail interviewer rejection repeat question make negative remark recall ability interviewer accept know response reject interviewer reject know response subsequent response contradict initial response suggest interviewer rejection follow preschool-aged know response suggestive know response forensic interview ground rule interviewer acceptance interviewer rejection preschool-aged sexual-abuse investigative interview individual-differences question repetition police officer memory suggestibility accuracy recall witness', 'survey forensic interviewer implication practice law survey forensic interviewer learn type information want interview attitude beliefs forensic interview characteristic interview professional experience hypothesis predict interviewer want many different type information interview specifically detail allege disclosure interviewer find information helpful accessible interviewer consider interview neutral nonleading yield accurate complete information interviewer concern false amount preinterview information want experience amount training forensic interviewer state district columbia complete part consist open closed-ended question interviewer want many different type information interview often information allege disclosure think type information helpful frequently access information interview interviewer think interview fairly neutral slightly lead mostly accurate fairly complete interviewer concerned false denial want preinterview information interviewer concern false allegation few experience survey underscore need future examine preinterview information forensic interview provide current snapshot forensic interview benchmark local advocacy compare practice highlight inherent difficulty court face determine admissibility forensic interview primary forensic interview preinterview preparation confirmation bias advocacy sexual-abuse evaluation bias disclosure', 'search truth forensic interviewer approach conduct interview examine approach interviewer conduct interview truth narrative gather disclosure statement examine forensic interview complete advocacy descriptive examine step engage interviewer protocol content identify interviewer question strategy disclosure narratives interview indicate interviewer apply protocol order support advance phase elicit detail narrative question strategy variety question type progress specific incorporate interview aid sparingly necessary integrating multidisciplinary team feedback suggest approach inherent process actively conduct forensic interview rather begin strictly upon completion narrative paper describe interviewer incorporate framework throughout interview forensic interview advocacy disclosure narrative investigative interview credibility anatomical doll responses protocol informativeness statement victim legal']"
25,183,25_pain_chronic pain_pelvic_pelvic pain,"['pain', 'chronic pain', 'pelvic', 'pelvic pain', 'fibromyalgia', 'catastrophizing', 'interference', 'opioid', 'fm', 'intensity', 'musculoskeletal', 'central']","['role ptsd pain cop strategy chronic acute pain strength-based approach purposewhile link chronic pain ptsd well-established less know experience different type pain explores ptsd pain cop strategy interact chronic versus acute pain methodsa chronic acute pain complete online survey assess pain cop strategy current ptsd correlation difference chronic acute pain evaluate z-tests resultspain intensity positively ptsd specifically re-experiencing hyperarousal link great pain intensity adaptive coping strategy like distraction cop self-statements negatively pain intensity strategy stronger negative correlation ptsd chronic pain suggest complex cop dynamic ptsd pain pronounce chronic pain sufferer conclusionsthese important implication emphasise need trauma-informed care pain management intervention explore effective strategy manage intersection pain chronic pain ptsd chronic pain pain cop strategy posttraumatic-stress-disorder commitment fear-avoidance mediate role acceptance shame intervention', 'flexibility pain characteristic opioid misuse noncancerous chronic pain chronic pain estimate annual u first-line chronic pain often opioids knowledge explore flexibility pain severity pain interference opioid misuse chronic pain collect outpatient pain clinic northeastern united state complete cross-sectional survey validate pain severity pain interference hypothesize uniquely predict opioid misuse pain severity hypothesize predict pain interference finally flexibility hypothesize indirect relationship main suggest pain severity predict opioid misuse mediate flexibly pain interference predicts opioid misuse mediate flexibility finally suggest pain severity predict pain interference mediate flexibility discussion implication discuss term future assessment intervention chronic pain seek prescription opioids chronic pain opioids pain interference pain severity flexibility methadone-maintenance posttraumatic-stress-disorder chronic pelvic pain chronic back-pain sexual-abuse commitment psychometric property diagnose musculoskeletal pain', 'chronic pain substance chronic pain common people substance suds find exposure chronic pain adulthood examine people suds aim characterize chronic pain presence severity suds obtain treatment-seeking suds inpatient detoxification unit regression evaluate whether likelihood chronic pain severity several pain-related characteristic pain catastrophizing pain severity pain interference great likelihood chronic pain adulthood adjust bad pain severity great pain catastrophizing bad pain interference great likelihood chronic pain suds chronic pain exposure severe profile characterize great pain severity catastrophic interpretation pain pain-related interference daily people suds history benefit screen pain intervention reduce pain catastrophizing highlight importance understand mechanism link exposure later pain substance misuse chronic pain pain catastrophizing pain severity pain interference substance characteristic opioid validation reliability']"
26,179,26_eat_ed_eating_binge eat,"['eat', 'ed', 'eating', 'binge eat', 'binge', 'nervosa', 'anorexia', 'disorder', 'anorexia nervosa', 'disorder eat', 'eat ed', 'weight']","['function binge eat fbes development preliminary psychometric validation binge eat binge-eating bed widely understood response dietary restraint emotion dysregulation qualitative suggest wider range function binge eat exist function binge eat adverse ex-periences highlight present sought develop wide range function binge eat bed secondary examine relationship function adverse experience ace develop initial item pool function binge eat fbes invite expert eat ed field item refine item pool administer online self-reported binge eat along establish validity exploratory confirmatory produce eight-factor structure emotion regulation hedonic hunger compensatory eat numbness dissociation emotion expression self-punishment self-protection demonstrate good internal reliability adequate construct predictive validity function theoretically predict ace discussion extend understand range function binge eat experience bed additionally indicate type adverse experience predicts function binge eat initial validation fbes suggest function binge eat wide previously understood accordingly clinician encourage explore target complex process perpetuate binge-eating binge-eating feeding eat eat adverse event ede-q sexual-abuse household dysfunction depression anxiety hedonic hunger fit index obesity', 'ghrelin possible biomarker maintain eat reporting experience recent conceptualization ghrelin hormone suggest chronic alteration role maintain overeat behavior eat ed report experience investigate alteration ghrelin ed binge eat possible moderation mediation sixty-four ed healthy hcs plasma ghrelin complete questionnaire evaluate ed-specific psychopathology eat experience anorexia nervosa ghrelin hcs body mass bmi adjust comparison report history ghrelin csa bmi self-induced vomiting independent predictor ghrelin moderation ghrelin binge eat elevate ghrelin mediator csa binge eat support hypothesis chronic alteration ghrelin follow experience represent neurobiological maintain pathological overeat behavior ed binge eat eat eat ghrelin circulate ghrelin anorexia-nervosa plasma ghrelin sexual-abuse obese woman bulimia hormone leptin reward', 'binge eat without night eat syndrome woman binge eat bulimia nervosa without night eat syndrome regard psychopathology relative healthy parti-cipants divide eat healthy eating divide bulimia nervosa binge eat night eat syndrome binge eat complete questionnaire eat self-esteem psychopathology difference find eat subgroup except prevalent night eat syndrome binge eating differ eat healthy correlation emerge psychopathology self-esteem eating regression predict self-esteem eating moderate psychopathology emphasize specific night eat syndrome binge eat variant binge eat bulimia nervosa separate entity highlight importance night eat syndrome bulimia nervosa psychopathology night eat binge eat bulimia-nervosa sexual-abuse woman validation behavior obesity psychopathology']"
27,170,27_sleep_sleep quality_sleep disturbance_disturbance,"['sleep', 'sleep quality', 'sleep disturbance', 'disturbance', 'sleep problem', 'sleep duration', 'duration', 'insomnia', 'pittsburgh', 'experience sleep', 'daily', 'nightmare']","['dysregulated arousal pathway link sleep disturbance adulthood history well-established sleep disturbance adulthood transdiagnostic contributor many chronic disease determine whether actigraphy-measured index dysregulated arousal sleep explain sleep disturbance adulthood set age midus ii biomarker refresher complete wore actigraph seven rat sleep quality pittsburgh sleep quality psqi se se sleep disturbance actigraphy-measured sleep efficiency mediate link sleep disturbance ab se ci link sleep disturbance mediate actigraphy-measured index sleep onset latency mediate link sleep disturbance covaried unique sleep disturbance robust sleep efficiency emerge mediator link sleep disturbance critically mediation specific lead disease distinct pathways potential dysregulation arousal lead sleep inefficiency specific pathway experience contribute chronic disease sleep arousal developmental psychopathology neural development deprivation domain criterion rdoc eye-movement sleep quality fragmentation experience', 'adverse experience sleep collegiate athlete relationship adverse experience sleep disturbance collegiate athlete examine complete collegiate athletic ncaa division-i student-athletes recruit flyer campus adverse experience self-reported insomnia insomnia severity sleep quality pittsburgh sleep quality fatigue fatigue severity sleep duration self-reported relation eight adverse experience category examine linear regression adjust adverse experience explore independent separate combine find statistically dose-response relationship adverse experience insomnia poor sleep quality sleep duration fatigue sleep duration insomnia sleep quality fatigue sleep duration adjust adverse experience category strongest sleep independently insomnia sleep quality sleep duration find relationship adverse experience adverse sleep collegiate athlete sleep foundation inc right reserve adverse experience ace ace sleep sleep disturbance college athlete dysfunction neurobiology resilience', 'trajectory sleep quality correlation chinese lead sleep disturbance critical development examine trajectory sleep quality middle southeastern china information pre-seventh grade obtain self-report sleep quality collect follow-up group-based trajectory characterize trajectory sleep quality identify four trajectory sleep quality namely sleep moderate-low sleep moderate-increasing sleep high-decreasing sleep adjust covariates reveal develop new-onset sleep disturbance belong high-decreasing sleep exist dose-response relationship sleep quality trajectory type correlate great belong high-decreasing sleep provide compel indicate specific type cumulative contribute sleep disturbance highlight prevent reduce enhance sleep quality sleep quality trajectory depressive version duration insomnia']"
28,167,28_connectivity_functional_functional connectivity_restingstate,"['connectivity', 'functional', 'functional connectivity', 'restingstate', 'amygdala', 'fc', 'cortex', 'restingstate functional', 'neural', 'prefrontal', 'default', 'region']","['sex-specific experience resting-state functional connectivity philadelphia neurodevelopmental experience multiple adversely affect multiple function resting-state functional magnetic resonance image investigate experience functional connectivity impact difference document investigated sex-specific resting-state functional connectivity rsfc experience typically develop comprise philadelphia neurodevelopmental experience structure evaluation event interaction regress onto voxel-wise intrinsic connectivity distribution parameter value derive resting-state functional magnetic resonance imaging region pass cluster correction seed define resting-state network quality final sd experience least kind event four discrete anatomical cluster functional connectivity event resting-state network define four cluster seed correspond somatomotor network sex-specific identify another cluster connectivity connectivity event resting-state network define sex-specific cluster correspond default mode network dmn without diagnosis experience alteration rsfc region correspond somatomotor network differ direction region correspond dmn suggest sex-specific response exposure default mode network functional connectivity difference somatomotor network experience posttraumatic-stress-disorder default network connectivity homogeneity cortex organization exposure', 'subregion-specific modality-dependent timescale-sensitive hippocampal connectivity alteration first-episode drug-naive major depression despite accumulate hippocampus key dysfunctional node major depressive mdd previous controversial possibly due heterogeneous small complicate hippocampal structure different image modality analytical collect structural resting-state functional mri first-episode drug-naive mdd healthy subset complete battery neuropsychological test questionnaires seed-based morphological functional static dynamic connectivity calculate ten hippocampal subregions dynamic functional connectivity state k-means cluster connectivity cross-modality relationship cosine similarity connectivity neuropsychological spearman correlation between-group comparison reveal abnormal hippocampal connectivity depend hippocampal subdivision cornu ammonis ca seriously affected subregion particular right ca functional connectivity alteration image modality morphological connectivity reveal seldom sporadic alteration different lobes functional connectivity identify numerous convergent alteration prefrontal region dynamic functional connectivity sensitive static functional connectivity particular revealing alteration right ca contralateral prefrontal cortex functional connectivity alteration ca history limitation subset complete neuropsychological test cause underestimation relevance hippocampal connectivity alteration disrupt hippocampal ca functional connectivity play key role pathophysiology mdd act potential biomarker disease hippocampus major depressive functional connectivity morphological connectivity magnetic resonance image dynamic functional connectivity superior frontal gyrus prefrontal cortex structural-changes working-memory gray-matter dysfunction serotonin network', 'change default-mode network schizophrenia considerable dysconnectivity default-mode network dmn schizophrenia resting-state functional mri rs-imri history ct observe frequency schizophrenia relationship dmn functional connectivity yet investigate ct history rs-fmri collect schizophrenia healthy seed-based functional connectivity priori define seed dmn medial prefrontal cortex right leave lateral parietal lobe posterior cingulate cortex voxels ct functional connectivity examine multiple regression observe regression determine whether variance theory mind tom previously dmn recruitment explain seed-based revealed widespread reduction functional connectivity leave right parietal lobe lp multiple region parietal operculum bilaterally ct reduce prefrontal-parietal connectivity prefrontal-cerebellar connectivity ct-associated difference dmn connectivity predict variation tom suggest ct history variation dmn connectivity rs-fmri schizophrenia healthy partly mediate observed performance schizophrenia resting-state functional magnetic resonance image functional connectivity default-mode network early-life state functional connectivity connectivity working-memory psychosis cognition neuroendocrinology']"
29,165,29_bd_bipolar_mood_bipolar bd,"['bd', 'bipolar', 'mood', 'bipolar bd', 'episode', 'mania', 'onset', 'mdd', 'affective', 'ctq', 'major depressive', 'mdd bd']","['cross feature eat type bipolar fondamental advance expertise bipolar eat ed liable alter disease course bipolar bd explore crossed feature eds bd function bd type bd bd outpatient attend fondamental advanced expertise bd lifetime eds semi-structured interview sociodemographic dimensional collect accord standardized procedure ed type bivariate investigate type bd type multinomial regression ed bds bonferroni correction comorbid eds prevalent bd bd regression difference accord subtype bipolar characteristic anorexia nervosa bulimia nervosa bn binge eat bed multiple adjustment differentiate bd versus without ed body mass affective lability comorbidity anxiety bd bed score regard bd past suicide attempt bed large bd find lifetime eds bd type eds several severity indicator bd type-specific characteristic prompt clinician carefully screen bd ed regardless bd ed type bipolar eat comorbidity type suicide attempt anxiety comorbidity people woman', 'difference bipolar type type ii expose ct exposure pernicious course bipolar bd difference bd bd ii regard ct exposure explore difference ct trajectory bipolar bd bd bd ii carry onset eao suicide ideation severity timespan eao document ct comorbid alcohol aud anxiety ad post-traumatic ptsd describe univariate bivariate poisson regression bootstrap resampling ct pa sa statistically bd ii bd respectively onset suicide ideation delay ct bd bd ii aud ptsd ct bd limitation size non-comparison recall bias difference ct subtype exposure bd bd ii regard onset suicide ideation delay comorbid claim access strategy ct exposure screen bd detect possible pernicious course improve quality bipolar onset suicide ideation delay comorbidities posttraumatic-stress-disorder substance cooccurring bipolar anxiety sexual-abuse suicide', 'ptsd trauma-related expose bipolar ii post-traumatic ptsd establish comorbidity bipolar bd little known characteristic beyond ptsd difference bd-i bd-ii present characteristic trauma-exposed bd investigate profile bd-i bd-ii impact lifetime ptsd history bd course impact multi-center comprised bd history register ref nct gather interview validate note majority experience relevant event prior onset bd half lifetime ptsd accord clinician administer ptsd impact event scale-revised indicated trauma-related distress ptsd subsyndromal non-ptsd dissociation normative value bd ptsd history psychotic indicator bd severity difference bd-i bd-ii term lifetime ptsd profile predict rapid cycling indicator severity load bd mark lack difference profile bd-i bd-ii ptsd negative impact bd course many indicator bd severity difference ptsd subsyndromal support clarify role subsyndromic ptsd highlight importance screen bd bipolar ptsd-post-traumatic dissociation posttraumatic-stress-disorder eye-movement desensitization rating-scale bdrs psychometric property spanish version event characteristic environmental function']"
30,165,30_emotion regulation_dysregulation_emotion dysregulation_regulation strategy,"['emotion regulation', 'dysregulation', 'emotion dysregulation', 'regulation strategy', 'difficulty emotion', 'suppression', 'er', 'regulation difficulty', 'expressive', 'reappraisal', 'expressive suppression', 'selfregulation']","['emotion regulation everyday experience sample major psychopathology increase suggest emotion regulation underlie mechanism come single assessment habitual emotion regulation overlap spontaneous emotion regulation daily fail account within-individual variability emotion regulation multiple context present investigated relation history positive negative affect multiple dimension spontaneous emotion regulation strategy emotion regulation goal emotion regulation success effort everyday experience sample assessment consecutive healthy volunteer multilevel model indicate positive affect negative affect reappraisal savor suppression rumination distraction reduce emotion regulation success effort within-individual variability hedonic instrumental emotion regulation goal provide ecological multiple difference emotion regulation history self-focused attention expressive flexibility individual-differences psychopathology dysregulation suppression', 'impact emotion regulation difficulty strategy throughout young adulthood link numerous psychopathology throughout emotion regulation propose transdiagnostic mechanism remain relatively unknown differentially predict development emotion regulation later vulnerable psychopathology examine impact experience developmental trajectory emotion regulation throughout young adulthood consist complete questionnaire assess emotion regulation difficulty emotion regulation strategy reappraisal expressive suppression annually six point age information experience age collect conditional growth curve examine age initial growth emotion regulation difficulty strategy age predict developmental change emotion regulation difficulty great large increase emotion regulation difficulty age predict initial emotion regulation difficulty great great difficulty emotion regulation suggest developmental consequence evidence impaired development emotion regulation ability throughout young adulthood emotion regulation strategy relatively unaffected emotion regulation difficulty emotion regulation strategy reappraisal self-regulation dysregulation neurobiology deprivation personality context', 'difference emotion regulation prospectively predict covid acute preliminary suggest emotion dysregulation confer vulnerability poor response present extends examine specific emotion regulation strategy global emotion regulation difficulty context acute follow onset covid global pandemic young part large emotion regulation prior pandemic onset january february emotion regulation erq gross john difficulty emotion regulation ders gratz roemer selfreport acute conduct covid pandemic declaration demonstrate reappraisal expressive suppression erq individually predictive acute interaction suppression reappraisal simple indicated suppression negatively acute reappraisal great global emotion regulation difficulty ders nonacceptance emotion limited access emotion regulation strategy predict great acute provide temporal relationship emotion dysregulation reaction suggest expect emotion regulation strategy differ contexts emotion regulation acute coronavirus covid regulation difficulty ptsd peritraumatic dissociation psychometric property experiential avoidance anxiety sensitivity cortisol reactivity regulation risk-factors']"
31,157,31_suicidal ideation_ideation_suicidal_relationship suicidal,"['suicidal ideation', 'ideation', 'suicidal', 'relationship suicidal', 'thought', 'suicidality', 'experience suicidal', 'ideation suicidal', 'depression suicidal', 'suicidal thought', 'ideation depression', 'hopelessness']","['suicidal ideation justice-and welfare-involved nigeria investigate mediate role social support emotion regulation suicidal ideation global burden justice welfare-involved affect past examined protective suicidal ideation remain under-studied topic at-risk middle-income fill gap examing suicidal ideation high-risk nigeria examine nexus suicidal ideation cross-sectional design adopt multistage sample suicidal ideation validate self-report massachusetts screen instrument maysi validate self-report intrusment icast-c comprise respondent justice-involved welfare involve half detention residential care suicidal ideation ci parent alive ci parent alive ci ci predict suicidal ideation suicidal ideation comorbid depressed-anxious ci accounting nagelkerke variance social support indirect suicidal ideation ci underscore influence family suicidal ideation intervention suicide screen lose parent primary focus intervention risk-factors psychiatric-disorders mental-health foster-care juvenile victimization metaanalysis', 'adverse experience suicidal ideation korean unwed mother suicide lead cause death suicidal ideation unwed mother counterpart republic korea adverse experience ace negative suicidal ideation impact ace suicidal ideation korean unwed mother remain underexplored examine relationship ace suicidal ideation adulthood korean unwed mother logistic regression examine impact cumulative specific ace suicidal ideation adulthood mother suicidal ideation experience least ace experience four ace highlight ace suicidal ideation distinct specific type combination ace identify unwed mother expose domestic violence heighten suicidal ideation suggest domestic violence critical identifying unwed mother suicidal ideation underscore necessity implement trauma-informed practice mitigate suicide korean unwed mother ace suicidal ideation trauma-informed practice sociocultural contexts risk-factors household dysfunction metaanalysis recurrence context', 'distinct over-general autobiographical memory suicidal ideation depress healthy people over-general autobiographical memory ogm crucial suicide aim investigate whether suicidal ideation predict ogm mechanism ogm underlie suicidal ideation depression healthy depression match healthy recruit descriptive statistic pearson correlation coefficient obtain path conduct test meditational multigroup apply find difference difference detect depression healthy respect ogm suicidal ideation suicidal ogm positively correlate current worst-point suicidal ideation depression correlate worst-point suicidal ideation healthy path direct impact current suicidal ideation directly indirect influence ogm worst-point suicidal ideation multigroup demonstrate ogm affect mediate current suicidal ideation due depression worst-point suicidal ideation affect healthy ogm mediates suicidal ideation depression affect worst-point suicidal ideation healthy major suicidal ideation depression amelioration ogm useful reduce prevent suicidal ideation depression autobiographical memory over-general memory depression suicidal ideation executive carfax event functional avoidance bad point specificity rumination capture']"
32,156,32_psychometric_psychometric property_internal consistency_property,"['psychometric', 'psychometric property', 'internal consistency', 'property', 'consistency', 'internal', 'ctqsf', 'confirmatory', 'testretest', 'alpha', 'instrument', 'convergent']","['tool aim identify evaluate effectiveness main six database search methodological quality psychometric property identify appraised consensus-based standard selection instrument checklist identify met relevant inclusion criterion commonly tool original modified version show great promise internal consistency robust psychometric property responsiveness criterion validity error understudied instrument demonstrate sufficient criterion require validate effectiveness new exist instrument achieve employ higher-quality assess psychometric property psychometric property cosmin psychometric property screen tool reliability validity version', 'psychometric validation malay version eaq-m pervasive form severe consequence despite impact often go unnoticed complicate detection malaysia increase awareness underscore need reliable culturally adapted tool questionnaire-malay version eaq-m cross-sectional validation aim translate validate eaq malay process involve forward backward translation finalise six bilingual expert paediatrician certify language lecturer officer face validity content validity six expert secondary student kota bharu kelantan participate confirmatory cfa construct validity cronbach alpha evaluate internal consistency test-retest reliability determine intraclass correlation coefficient icc eaq-m demonstrate content validity s-cvi ua face validity s-fvi ua s-fvi ave cfa confirm retention item maintain original six-factor structure fit index indicate acceptable fit nc rmsea gfi agfi cfi tli nfi srmr internal consistency cronbach alpha test-retest reliability strong icc ci eaq-m original item retain reliable valid six-factor tool assess malaysian psychometrics confirmatory validation sample-size adaptation', 'psychometric property adverse experience short form ace-asf ecuadorian adverse experience poor socio-emotional development adulthood assess experience specific allow identification pattern implementation preventive intervention evaluate psychometric property abbreviate version adverse experience form ace-asf ecuadorian aiming ensure validity reliability consistency instrument accurately measure dimension ecuadorian instrumental conduct psychometric property eight-item ace-asf applying student evaluation focus factorial structure internal consistency instrument two-factor satisfactory fit invariance configural metric scalar strict acceptable fit index cfi tli gfi rmsea srmr internal consistency adequate mcdonald omega cronbach alpha coefficient convergent discriminant validity confirm ave htmt index ensure proper differentiation dimension ace-asf proved valid reliable instrument assess experience ecuadorian two-factor structure reflect distinct yet dimension provide useful tool identify adverse experience psychometrics validation chronic diseases sample-sizes violence behavior woman']"
33,146,33_dissociation_dissociative_dissociative experience_identity,"['dissociation', 'dissociative', 'dissociative experience', 'identity', 'dissociative identity', 'depersonalization', 'amnesia', 'psychotic', 'pathological', 'hallucination', 'schizophrenia', 'somatoform']","['experience dissociation student china theoretical reexamination implication dissociation remain controversial topic term cross-cultural validity relationship investigate dissociative probable dissociative chinese student test dissociation student complete standardized positive adverse experience pces ace dissociation depression anxiety dissociative probable dsm dissociative dd respectively dissociation reliable construct icc moderately correlate psychopathology depressive anxiety probable dd ace few pces without probable dd ace dissociative beta even control depressive anxiety pces moderate relationship ace dissociative dissociative probable dsm dds nonclinical provide cross-cultural dissociation reliable valid phenomenon psychopathology culture partly support dissociation contributes limit dissociation offer empirical facilitate ongoing controversy dissociation imply dissociation cross-culturally sufficient cause theoretical implication discuss dissociation dissociative cross-cultural psychiatry phq generalize anxiety pathological dissociation identity depression validation', 'dissociative young role self-stigma dissociative phenomenon recognize icd dsm tr refer failures process integrate biopsychosocial experience dissociative little know whether predict increase dissociative even short additionally remain unclear moderator influence relationship examine subsequent dissociative explore potential moderate health-related self-stigma survey young complete validated standardized self-stigma dissociative dissociative pathological dissociation continue exhibit pathological dissociation increase dissociative even short self-stigma moderate relationship subsequent dissociative control dissociative confirm increase dissociative even find self-stigma exacerbate subsequent dissociative provide insight prevention management dissociative survivor inform modification dissociation adverse experience ace dissociation moderator self-stigma pathological dissociation general-population experience', 'dissociation inpatient schizophrenia spectrum taiwan overlap schizophrenia dissociation increasingly recognize paper explain reasonable expect substantial subgroup schizophrenia spectrum ssds suffer pathological dissociation little known dissociative ssds investigate dissociative ssds self-report structured interview examine dissociative randomly recruit inpatient ssds taiwan exhibited pathological dissociation dissociative accord structure interview meet dsm criterion dissociative identity concurrent validity pathological dissociation similar depression schizophrenia dissociative likely high-betrayal meet dsm criterion post-traumatic psychotic without dissociative structured interview examine pathological dissociation ssds indicate pathological dissociation ssds uncommon dissociation facilitate identification dissociative psychosis schizophrenia multiple personality-disorder structure interview identity pathological dissociation hallucination psychosis validity']"
