UT (Unique WOS ID),Article Title,detected_lang,lang_confidence,spanish_token_ratio,reason
WOS:001178067900001,"Cognitive factors as mediators of the relationship between childhood trauma and depression symptoms: the mediating roles of cognitive overgeneralisation, rumination, and social problem-solving",unknown,0.0,0.164021164021164,spanish_token_ratio=0.164
WOS:001608770100001,Understanding the link between maternal childhood maltreatment and mother-infant bonding: postpartum depressive symptoms as a mediator,unknown,0.0,0.27611940298507465,spanish_token_ratio=0.276
WOS:001570313500001,"Brain network controllability in genetic risk, childhood abuse, and adult anxiety",unknown,0.0,0.3227016885553471,spanish_token_ratio=0.323
WOS:001610416100001,From childhood trauma to complex PTSD: a network analysis,unknown,0.0,0.26936026936026936,spanish_token_ratio=0.269
WOS:001522796200001,"From past to present: the connection of traumatic childhood experiences, recent stressful life events, and treatment expectations in depression",unknown,0.0,0.28810408921933084,spanish_token_ratio=0.288
WOS:001433480100001,From digital harm to recovery: a multidisciplinary framework for First Aid after Online Sexual Abuse,unknown,0.0,0.27217125382262997,spanish_token_ratio=0.272
WOS:001563798100001,The mediating roles of stressful life events and negative affect in the relationship between childhood maltreatment and non-suicidal self-injury among clinical adolescents,unknown,0.0,0.2746331236897275,spanish_token_ratio=0.275
WOS:001157224500001,Heightened response to positive facial cues as a potential marker of resilience following childhood adversity,unknown,0.0,0.2,spanish_token_ratio=0.200
WOS:001524201800001,The impact of childhood maltreatment and parental styles on telomere length: the modulatory role of A118G,unknown,0.0,0.25,spanish_token_ratio=0.250
WOS:001205221900001,Skills training followed by either EMDR or narrative therapy for posttraumatic stress disorder in adult survivors of childhood abuse: a randomized controlled trial,unknown,0.0,0.23404255319148937,spanish_token_ratio=0.234
WOS:001510906700001,Latent profile analysis of psychological abuse and neglect and the relationship with depression and anxiety: a multicentre cross-sectional study in western Chinese adolescents,unknown,0.0,0.27331887201735355,spanish_token_ratio=0.273
WOS:001598448300001,Childhood neglects: intimate partner violence in PTSD-SUD comorbid patients treated with narrative exposure therapy,unknown,0.0,0.26976744186046514,spanish_token_ratio=0.270
WOS:001349149400001,Adverse childhood experiences and ICD-11 complex posttraumatic stress disorder in Poland: a population-based study,unknown,0.0,0.31009615384615385,spanish_token_ratio=0.310
WOS:001314465500001,Dynamic networks of complex posttraumatic stress disorder and depression among college students with childhood trauma: insights from cross-sectional and cross-lagged panel network analysis,unknown,0.0,0.28346456692913385,spanish_token_ratio=0.283
WOS:001143847900001,Predictors and moderators of treatment outcomes in phase-based treatment and trauma-focused treatments in patients with childhood abuse-related post-traumatic stress disorder,unknown,0.0,0.2421259842519685,spanish_token_ratio=0.242
WOS:001299683800001,Psychosocial consequences of growing up as Austrian occupation children in post-World-War II Austria,unknown,0.0,0.28216704288939054,spanish_token_ratio=0.282
WOS:001562005900001,"Childhood adversity, current adversity and cognitive frailty among older adults in rural China: does social support play a role?",unknown,0.0,0.22943722943722944,spanish_token_ratio=0.229
WOS:001472575400001,"Relationship between early maladaptive schemas (EMSs), adverse childhood experiences and mental health in adulthood among transgender individuals",unknown,0.0,0.26285714285714284,spanish_token_ratio=0.263
WOS:001469011700001,"The relationship between childhood trauma, rs1360780 genotypes, FKBP5 intron 7 methylation and posttraumatic stress disorder in women who have experienced rape",unknown,0.0,0.3286467486818981,spanish_token_ratio=0.329
WOS:001473788100001,The dynamic of adaptation from school to the workplace among men who were sexually abused in childhood and/or adolescence (MSACA),unknown,0.0,0.22098214285714285,spanish_token_ratio=0.221
WOS:001188849700001,"A sex-specific pathway linking early life maltreatment, vagal activity, and depressive symptoms",unknown,0.0,0.20967741935483872,spanish_token_ratio=0.210
WOS:001437415200001,"Trait dissociation in borderline personality disorder: influence on immediate therapy outcomes, follow-up assessments, and self-harm patterns",unknown,0.0,0.32315112540192925,spanish_token_ratio=0.323
WOS:001415488800001,Imagery Rescripting (ImRs) and Eye Movement Desensitization and Reprocessing (EMDR) as treatment of childhood-trauma related post-traumatic stress disorder (Ch-PTSD) in adults: effects on Schema Modes,unknown,0.0,0.25614754098360654,spanish_token_ratio=0.256
WOS:001554307900001,Yoga as a pre-treatment of EMDR to treat childhood abuse-related PTSD: feasibility and pilot study,unknown,0.0,0.30462184873949577,spanish_token_ratio=0.305
WOS:001349076300001,Behavioural profiling following acute stress uncovers associations with future stress sensitivity and past childhood abuse,unknown,0.0,0.3158813263525305,spanish_token_ratio=0.316
WOS:001528183300001,Neurocognitive functioning over the course of STAIR Narrative Therapy for ICD-11 complex PTSD,unknown,0.0,0.2546201232032854,spanish_token_ratio=0.255
WOS:001490626900001,C-METTA reduces PTSD-related guilt and shame following interpersonal violence,unknown,0.0,0.2578268876611418,spanish_token_ratio=0.258
WOS:001434012400007,Child Sexual Abuse Attributions: Are They Different Depending on Mothers versus Fathers' Reactions?,unknown,0.0,0.32602739726027397,spanish_token_ratio=0.326
WOS:001311944900001,Wellbeing and illbeing in women exposed to physical and sexual violence during peripregnancy: a population-based longitudinal study,unknown,0.0,0.2620689655172414,spanish_token_ratio=0.262
WOS:001302808600001,Long-term effects of dialectical behaviour therapy for posttraumatic stress disorder and cognitive processing therapy 9 months after treatment termination,unknown,0.0,0.27416173570019725,spanish_token_ratio=0.274
WOS:001311169500006,The humiliation of the abused woman: the internalization of self-devaluation as a key factor in victim inaction / La humillación de la mujer maltratada: la interiorización de la devaluación del yo como factor clave en la inacción de la víctima,unknown,0.0,0.14414414414414414,spanish_token_ratio=0.144
WOS:001124840600001,Perceived friendships protect against the development of anger following childhood adversities in UK military veteran men residing in Northern Ireland,unknown,0.0,0.18142548596112312,spanish_token_ratio=0.181
WOS:001436760500001,The lived experiences of childhood trauma in war: has post-traumatic growth occurred?,unknown,0.0,0.2610294117647059,spanish_token_ratio=0.261
WOS:001484530100001,Event-related potentials associated with cognitive control in adolescents exposed to complex childhood trauma,unknown,0.0,0.24462809917355371,spanish_token_ratio=0.245
WOS:001310532300001,Childhood-related PTSD: the role of cognitions in EMDR and imagery rescripting,unknown,0.0,0.27798507462686567,spanish_token_ratio=0.278
WOS:001502035900013,"Moral injury, coping strategies, and supports among Canadian public safety personnel",unknown,0.0,0.22743055555555555,spanish_token_ratio=0.227
WOS:001626629600001,Trauma and physical pain: an urban-rural comparison of sexually abused girls in Burundi,unknown,0.0,0.2958963282937365,spanish_token_ratio=0.296
WOS:001324208500001,Torture and its sequelae among prostituted women in the United States,unknown,0.0,0.25660377358490566,spanish_token_ratio=0.257
WOS:001485994500001,Appetitive aggression and associated factors among military soldiers retiring from active service in Uganda,unknown,0.0,0.29094827586206895,spanish_token_ratio=0.291
WOS:001540588600001,Forensic Psychological Harm in Victims of Child Sexual Abuse: A Meta-analytic Review,unknown,0.0,0.32517482517482516,spanish_token_ratio=0.325
WOS:001234624200001,Complex posttraumatic stress disorder and dissociation in trauma-exposed Chinese adolescents: a latent class analysis,unknown,0.0,0.23880597014925373,spanish_token_ratio=0.239
WOS:001563817000001,Emotional awareness in adolescents with a borderline personality disorder: impact of defense mechanisms and adversity,unknown,0.0,0.2710526315789474,spanish_token_ratio=0.271
WOS:001098688800004,The agentive power of play in theatre for young people: a Zimbabwean case study,unknown,0.0,0.12871287128712872,spanish_token_ratio=0.129
WOS:001267535500007,Rethinking the concepts of the unconscious and analytic time,unknown,0.0,0.18946188340807174,spanish_token_ratio=0.189
WOS:001285434800004,Developmental and Psychological Profile of Men Who Have Committed Sadistic Sexual Aggression against Women,unknown,0.0,0.2347266881028939,spanish_token_ratio=0.235
WOS:001467239800001,"Towards a better definition of nociplastic pain conditions: a psychological grounded study on fibromyalgia, chronic headache and vulvodynia",unknown,0.0,0.252,spanish_token_ratio=0.252
WOS:001530062800001,A comparative analysis of age of onset and associated factors in non-refugee immigrants versus native-born individuals with psychotic disorders,unknown,0.0,0.26944444444444443,spanish_token_ratio=0.269
WOS:001249816100001,Can perpetrators discern survivors from voice?,unknown,0.0,0.25831202046035806,spanish_token_ratio=0.258
WOS:001174934700011,"War, Torture and Trauma in Preadolescents from Gaza Strip. Two Different Modalities of PTSD",unknown,0.0,0.24271844660194175,spanish_token_ratio=0.243
WOS:001429087900001,Psychometric evaluation of the UCLA PTSD Reaction Index (PTSD RI-5) in a Turkish Clinical sample of trauma-exposed children,unknown,0.0,0.30294906166219837,spanish_token_ratio=0.303
WOS:001239326500001,The nature and impacts of deployment-related encounters with children among Canadian military Veterans: a qualitative analysis,unknown,0.0,0.24041811846689895,spanish_token_ratio=0.240
WOS:001380552800001,Brain connectivity disruptions in PTSD related to early adversity: a multimodal neuroimaging study,unknown,0.0,0.21649484536082475,spanish_token_ratio=0.216
WOS:001334266500001,EMDR treatment in patients with personality disorders. Should we fear symptom exacerbation?,unknown,0.0,0.30726256983240224,spanish_token_ratio=0.307
WOS:001441665500001,Dissociative experiences in individuals with subclinical psychosis and a history of developmental trauma: a qualitative study,unknown,0.0,0.2962962962962963,spanish_token_ratio=0.296
WOS:001125909400001,A comparison of two strategies to assess sexual violence: general vs. specialised trauma screening strategies in two high-risk substance use health disparity samples,unknown,0.0,0.24390243902439024,spanish_token_ratio=0.244
WOS:001679182500001,"Intimacy, labour and sexual violence: Nama and Baster women in Namaqualand's copper mining district, c.1879-1900",unknown,0.0,0.19898819561551434,spanish_token_ratio=0.199
WOS:001345256600001,Agreement for posttraumatic stress symptoms among unaccompanied young refugees and professional caregivers,unknown,0.0,0.2948453608247423,spanish_token_ratio=0.295
WOS:001152281500001,"'Life should go on': a qualitative inquiry of parental reactions, experiences, and perceived needs following adolescents' recent traumatic exposure",unknown,0.0,0.18992248062015504,spanish_token_ratio=0.190
WOS:001559152800001,Subjective and objective sleep disturbances following trauma-focused treatment,unknown,0.0,0.32706766917293234,spanish_token_ratio=0.327
WOS:001361327500013,Discontinuation of mental health treatment among Canadian military personnel,unknown,0.0,0.20443740095087162,spanish_token_ratio=0.204
WOS:001205222700001,Working mechanisms of imagery rescripting (ImRs) in adult patients with childhood-related PTSD: a pilot study,unknown,0.0,0.2559055118110236,spanish_token_ratio=0.256
WOS:001379806000001,Voice hearing in young people with posttraumatic stress disorder (PTSD) following multiple trauma exposure,unknown,0.0,0.281947261663286,spanish_token_ratio=0.282
WOS:001608794500001,Assessing trauma-related symptomatology in the Netherlands: the Dutch Global Psychotrauma Screen (GPS),unknown,0.0,0.2589928057553957,spanish_token_ratio=0.259
WOS:001588530400001,"Grief, depression and psychotic-like experiences among bereaved college students: the predictive role of attitudes towards death",unknown,0.0,0.27564102564102566,spanish_token_ratio=0.276
WOS:001390201200001,Using telemedicine and virtual healthcare to improve clinical follow-up for survivors of sexual assault and intimate partner violence: a 7-year investigation of emergency department cases,unknown,0.0,0.2158273381294964,spanish_token_ratio=0.216
WOS:001066621800001,"Factors associated with adolescent pregnancy in Maharashtra, India: a mixed-methods study",unknown,0.0,0.1972187104930468,spanish_token_ratio=0.197
