topic,topic_type,include_in_trends,display_name,label_keywords,document_count
44,substantive,True,"Elder, Mistreatment, Elderly, Financial","elder, mistreatment, elderly, financial, caregiver, dementia, older, old people",130
45,substantive,True,Adverse childhood experiences (ACE),"foster, foster care, outofhome, placement, outofhome care, welfare, residential, residential care",126
46,substantive,True,"Perceive Social, Role Social, Support Depressive, Buffer","perceive social, role social, support depressive, buffer, support cop, support social, cm, social relationship",126
47,substantive,True,"Memory, False, Autobiographical, Autobiographical Memory","memory, false, autobiographical, autobiographical memory, recover, recall, repress, work memory",124
48,substantive,True,"Teacher, Classroom, Attitude, Learner","teacher, classroom, attitude, learner, educator, preschool, teach, csa",122
49,substantive,True,"Woman Experience, Reproductive, Premenstrual, Family Plan","woman experience, reproductive, premenstrual, family plan, smi, syndrome, planning, marriage",121
50,substantive,True,"Trait, Personality Trait, Personality Function, Personality Pathology","trait, personality trait, personality function, personality pathology, pd, pathology, maladaptive personality, traits",120
51,substantive,True,"Disclosure, Disclose, Csa, Tell","disclosure, disclose, csa, tell, delay, reaction, recipient, barrier",120
52,substantive,True,"Selfesteem, Rosenberg, Rosenberg Selfesteem, Role Selfesteem","selfesteem, rosenberg, rosenberg selfesteem, role selfesteem, momentary, depression selfesteem, esteem, cyberbullying",119
53,substantive,True,"Adverse Event, Growth, Mortality, Trajectory","adverse event, growth, mortality, trajectory, dementia, asthma, ptg, frailty",119
54,substantive,True,"Veteran, Military, Combat, Military Veteran","veteran, military, combat, military veteran, military service, personnel, deployment, service member",119
55,substantive,True,"Psychotherapy, Chronic Depression, Antidepressant, Major Depression","psychotherapy, chronic depression, antidepressant, major depression, rumination, relationship depression, treatmentresistant, persistent depressive",119
56,substantive,True,"Polyvictimization, Victimization Experience, Type Victimization, Violent Victimization","polyvictimization, victimization experience, type victimization, violent victimization, cyberbullying victimization, minority, revictimization, assault",118
57,substantive,True,"Young People, People Experience, Harmful, Helpseeking","young people, people experience, harmful, helpseeking, barrier, app, safety, practitioner",118
58,substantive,True,"Inflammation, Il, Inflammatory, Cytokine","inflammation, il, inflammatory, cytokine, immune, crp, marker, creactive",117
59,substantive,True,"Intimate, Intimate Partner, Partner Violence, Coercive","intimate, intimate partner, partner violence, coercive, economic, violence woman, domestic, experience intimate",115
60,substantive,True,"Disease, Cardiovascular, Heart, Cardiovascular Disease","disease, cardiovascular, heart, cardiovascular disease, diabetes, cvd, reactivity, type diabetes",114
61,substantive,True,College students & campus prevention,"subjective wellbeing, subjective, satisfaction, hedonic, wellbeing resilience, resilience wellbeing, college, wellbeing young",114
62,substantive,True,"Mindfulness, Satisfaction, Couple, Relationship Satisfaction","mindfulness, satisfaction, couple, relationship satisfaction, relationship quality, romantic, romantic relationship, marital",113
63,substantive,True,"Executive, Executive Function, Ef, Work Memory","executive, executive function, ef, work memory, performance, memory, deficit, task",110
64,substantive,True,"Csam, Material Csam, Pornography, Enforcement","csam, material csam, pornography, enforcement, law enforcement, law, technology, digital",108
65,substantive,True,Psychosis & psychotic-like experiences,"ct, schizophrenia, psychosis, relationship ct, fep, lifestyle, cortical, antipsychotic",105
66,substantive,True,"Aud, Drinking, Drink, Alcoholrelated","aud, drinking, drink, alcoholrelated, consumption, alcohol consumption, alcohol problem, alcohol misuse",103
67,substantive,True,"Alexithymia, Toronto, Toronto Alexithymia, Ta","alexithymia, toronto, toronto alexithymia, ta, feeling, alexithymia ta, difficulty identify, somatic",100
68,substantive,True,"Pregnancy, Postpartum, Perinatal, Unintended","pregnancy, postpartum, perinatal, unintended, teenage pregnancy, unintended pregnancy, pregnant, teenage",100
69,substantive,True,"Prevention Program, Schoolbased, Skill, Curriculum","prevention program, schoolbased, skill, curriculum, implementation, effectiveness, safety, posttest",98
70,substantive,True,"Ptg, Heal, Inquiry, Recovery","ptg, heal, inquiry, recovery, growth, posttraumatic growth, redress, theme",97
71,substantive,True,"Domestic, Domestic Violence, Dv, Witness Domestic","domestic, domestic violence, dv, witness domestic, witness, coercive, experience domestic, victim domestic",97
72,substantive,True,"Aggression, Aggressive, Reactive, Relational Aggression","aggression, aggressive, reactive, relational aggression, trait, anger, proactive, relational",96
73,substantive,True,"Caregiver, Caregiver Support, Caregiver Experience, Caregiverchild","caregiver, caregiver support, caregiver experience, caregiverchild, nonoffending, caregiving, family caregiver, experience caregiver",95
74,substantive,True,Maternal & infant mental health,"infant, motherinfant, maternal, mother, postpartum, bonding, birth, bond",94
75,substantive,True,"Family Member, Family Function, Family Environment, Family Dynamic","family member, family function, family environment, family dynamic, incest, family origin, family relationship, cohesion",94
76,substantive,True,"Narrative, Story, Autonomy, Psychoanalysis","narrative, story, autonomy, psychoanalysis, write, voice, writing, conception",93
77,methods,False,"Aor, Aor Ci, Ci Aor, Ethiopia","aor, aor ci, ci aor, ethiopia, adjust, adjust aor, multivariable, birth",91
78,substantive,True,"Selfcompassion, Compassion, Shame, Selfcriticism","selfcompassion, compassion, shame, selfcriticism, mindfulness, gratitude, mediate role, posttraumatic growth",91
79,methods,False,"Latent Profile, Latent, Profile Identify, Distinct Profile","latent profile, latent, profile identify, distinct profile, fatigue, lpa, subgroup, morning",91
80,substantive,True,College students & campus prevention,"date violence, perpetration, dv, cyber, violence perpetration, victimization perpetration, violence victimization, romantic",89
81,substantive,True,"Childbirth, Maternity, Mistreatment, Obstetric","childbirth, maternity, mistreatment, obstetric, respectful, birth, facility, delivery",88
82,substantive,True,"Cptsd, Ptsd Cptsd, Icd, Complex Posttraumatic","cptsd, ptsd cptsd, icd, complex posttraumatic, dso, complex ptsd, posttraumatic cptsd, ptsd complex",87
83,substantive,True,"Experience Adverse, Household Dysfunction, Capital, Deviant","experience adverse, household dysfunction, capital, deviant, frailty, social capital, dementia, relationship adverse",87
84,substantive,True,"Cortical, Matter, Thickness, Cortical Thickness","cortical, matter, thickness, cortical thickness, gray, gray matter, volume, white matter",86
85,substantive,True,"Men Woman, Masculinity, Gay, Msm","men woman, masculinity, gay, msm, woman men, gay men, minority, men men",85
86,suicidality,False,Suicidality & suicidal ideation,"selfharm, harm, selfharm suicide, deliberate selfharm, deliberate, attempt, suicide attempt, repetition",83
87,substantive,True,Psychosis & psychotic-like experiences,"schizophrenia, schizophrenia spectrum, psychosis, spectrum, psychotic, social functioning, functioning, panss",83
88,methods,False,"Node, Bridge, Central, Network Structure","node, bridge, central, network structure, social network, centrality, strength, network approach",82
89,substantive,True,Adverse childhood experiences (ACE),"bully, bullying, bully victimization, perpetration, peer bully, workplace, experience bully, cyberbullying",82
90,substantive,True,"Gut, Microbiome, Ibs, Axis","gut, microbiome, ibs, axis, composition, gut microbiome, bowel, bowel syndrome",81
91,substantive,True,Adverse childhood experiences (ACE),"workplace, nurse, healthcare, worker, healthcare worker, verbal, staff, occupational",78
92,substantive,True,"Genetic, Gene, Polymorphism, Geneenvironment","genetic, gene, polymorphism, geneenvironment, genotype, val, polygenic, val meet",77
93,substantive,True,"Ocd, Obsessivecompulsive, Obsessive Compulsive, Obsessive","ocd, obsessivecompulsive, obsessive compulsive, obsessive, compulsive, contamination, compulsion, onset",76
94,substantive,True,"Reward, Task, Neural, Processing","reward, task, neural, processing, reward sensitivity, decisionmaking, striatum, monetary",75
95,substantive,True,"Sibling, Ssa, Incest, Intrafamilial","sibling, ssa, incest, intrafamilial, harmful, disclosure, professional, familial",74
96,substantive,True,College students & campus prevention,"addiction, internet addiction, internet, game, smartphone, ia, college student, problematic internet",73
97,substantive,True,"Cop Strategy, Cop Style, Style, Religious","cop strategy, cop style, style, religious, coping, avoidant, coping style, fatigue",73
98,substantive,True,"Infection, Genital, Vaginal, Lesion","infection, genital, vaginal, lesion, sti, yearold, sexually, rare",68
99,substantive,True,"Adhd, Hyperactivity, Deficit Hyperactivity, Attentiondeficit","adhd, hyperactivity, deficit hyperactivity, attentiondeficit, attentiondeficit hyperactivity, hyperactivity adhd, attention deficit, deficit",67
100,substantive,True,"Medium, Social Medium, Metoo, News","medium, social medium, metoo, news, discourse, movement, coverage, digital",67
101,substantive,True,"Divorce, Alienation, Parental Education, Parental Divorce","divorce, alienation, parental education, parental divorce, pa, paternal, violence parental, warmth",67
102,substantive,True,"Deprivation, Threat Deprivation, Deprivation Threat, Dimensional","deprivation, threat deprivation, deprivation threat, dimensional, ela, development deprivation, neural development, neural",66
103,substantive,True,Adverse childhood experiences (ACE),"racial, black, american, discrimination, white, racial discrimination, african american, race",65
104,substantive,True,"Hr Ci, Hr, Ci Ci, Schoolchildren","hr ci, hr, ci ci, schoolchildren, mortality, intercourse, rr ci, difference ci",61
