model,topic,n_docs,model_top_terms,jaccard,overlap_count,token_hit_nps,npmi_mean,top_nps
bertopic,39,135,"mother, maternal, intergenerational, transmission, intergenerational transmission, motherchild, maternal depression, offspring",0.06666666666666667,2,5,-6.049023680827317,"and their, intergenerational transmission, the intergenerational, the current, mothers with, the relationship, and parenting, has been"
bertopic,40,134,"depression anxiety, anxiety depression, anxiety depressive, trait anxiety, migraine, depressive anxiety, social anxiety, gad",0.06666666666666667,2,6,-5.6529741274135885,"and anxiety, and depression, the relationship, depression anxiety, the development, this aimed, and with, the this"
bertopic,41,133,"externalize, internalize, internalize externalize, externalize problem, internalize problem, externalize internalize, externalize behavior, conduct problem",0.0,0,3,-5.305580497240961,"and externalizing, and internalizing, externalizing problems, internalizing problems, the relationship, the current, the present, the development"
bertopic,42,132,"college, college student, student experience, academic, harassment, campus, assault, nursing student",0.0,0,3,-5.952897393658471,"college students, the relationship, students from, was conducted, the this, students with, were collected, the present"
bertopic,43,132,"traumainformed, traumainformed care, traumainformed practice, principle, training, implementation, traumainformed approach, staff",0.0,0,3,-6.599104843037028,"have experienced, the impact, who have, and care, has been, adverse experiences, this paper, the need"
bertopic,44,130,"elder, mistreatment, elderly, financial, caregiver, dementia, older, old people",0.0,0,9,-5.859106564883191,"the elder, was conducted, the this, and older, the older, older people, elder mistreatment, and elder"
bertopic,45,126,"foster, foster care, outofhome, placement, outofhome care, welfare, residential, residential care",0.06666666666666667,2,8,-6.02730830843664,"foster care, residential care, the this, the relationship, the care, care this, this aimed, and their"
bertopic,46,126,"perceive social, role social, support depressive, buffer, support cop, support social, cm, social relationship",0.03225806451612903,1,10,-5.420686285647541,"social support, perceived social, and social, the relationship, the mediating, the role, and perceived, has been"
bertopic,47,124,"memory, false, autobiographical, autobiographical memory, recover, recall, repress, work memory",0.03225806451612903,1,6,-6.082849422353993,"and memory, false memory, the present, autobiographical memory, the memory, false memories, the this, recovered memories"
bertopic,48,122,"teacher, classroom, attitude, learner, educator, preschool, teach, csa",0.0,0,3,-6.389146702048205,"the this, and teachers, primary teachers, the current, the present, for teachers, this examined, was conducted"
bertopic,49,121,"woman experience, reproductive, premenstrual, family plan, smi, syndrome, planning, marriage",0.0,0,1,-6.3591423899859665,"women with, for women, and women, the women, the experiences, the this, has been, have been"
bertopic,50,120,"trait, personality trait, personality function, personality pathology, pd, pathology, maladaptive personality, traits",0.10344827586206896,3,8,-5.734825183185478,"personality traits, the relationship, and personality, the development, the present, personality pathology, the current, personality functioning"
bertopic,51,120,"disclosure, disclose, csa, tell, delay, reaction, recipient, barrier",0.0,0,7,-6.140571730171301,"the disclosure, and disclosure, and setting, the current, the this, csa disclosure, the present, has been"
bertopic,52,119,"selfesteem, rosenberg, rosenberg selfesteem, role selfesteem, momentary, depression selfesteem, esteem, cyberbullying",0.0,0,3,-6.104152860173646,"the relationship, the mediating, mediating role, this aimed, the present, social support, the impact, and this"
bertopic,53,119,"adverse event, growth, mortality, trajectory, dementia, asthma, ptg, frailty",0.0,0,5,-6.411396017252587,"the impact, has been, have been, adverse events, the relationship, the course, and retirement, the development"
bertopic,54,119,"veteran, military, combat, military veteran, military service, personnel, deployment, service member",0.06666666666666667,2,6,-5.676975023597624,"military veterans, and military, posttraumatic ptsd, and veterans, adverse experiences, experiences aces, this examined, military service"
bertopic,55,119,"psychotherapy, chronic depression, antidepressant, major depression, rumination, relationship depression, treatmentresistant, persistent depressive",0.0,0,10,-5.725327276412009,"and depression, for depression, with depression, the impact, the relationship, major depressive, has been, mediating role"
bertopic,56,118,"polyvictimization, victimization experience, type victimization, violent victimization, cyberbullying victimization, minority, revictimization, assault",0.03225806451612903,1,8,-5.889513590241069,"and victimization, the relationship, the victimization, the current, has been, the this, the role, victimization with"
bertopic,57,118,"young people, people experience, harmful, helpseeking, barrier, app, safety, practitioner",0.03225806451612903,1,9,-5.806947100869782,"young people, and young, for young, who have, people with, this paper, the this, have experienced"
bertopic,58,117,"inflammation, il, inflammatory, cytokine, immune, crp, marker, creactive",0.0,0,8,-5.806927475975357,"and inflammation, has been, inflammatory markers, systemic inflammation, chronic inflammation, the present, and inflammatory, have been"
bertopic,59,115,"intimate, intimate partner, partner violence, coercive, economic, violence woman, domestic, experience intimate",0.06666666666666667,2,8,-5.541655151201031,"intimate partner, partner violence, and intimate, the relationship, violence against, against women, intimate relationships, has been"
bertopic,60,114,"disease, cardiovascular, heart, cardiovascular disease, diabetes, cvd, reactivity, type diabetes",0.10344827586206896,3,6,-5.8958734877023575,"cardiovascular disease, and cardiovascular, has been, and with, type diabetes, the united, the biobank, with cardiovascular"
bertopic,61,114,"subjective wellbeing, subjective, satisfaction, hedonic, wellbeing resilience, resilience wellbeing, college, wellbeing young",0.0,0,2,-6.4243394400981995,"the relationship, the impact, the mediating, the current, adverse experiences, structural equation, known about, equation modeling"
bertopic,62,113,"mindfulness, satisfaction, couple, relationship satisfaction, relationship quality, romantic, romantic relationship, marital",0.10344827586206896,3,9,-5.86214407069278,"the relationship, has been, and relationship, the mediating, the role, relationship satisfaction, the current, relationship quality"
bertopic,63,110,"executive, executive function, ef, work memory, performance, memory, deficit, task",0.03225806451612903,1,7,-5.426590273721614,"executive function, and executive, executive functioning, executive functions, adverse experiences, working memory, the relationship, has been"
bertopic,64,108,"csam, material csam, pornography, enforcement, law enforcement, law, technology, digital",0.06666666666666667,2,6,-5.8559235150274995,"material csam, law enforcement, online material, this paper, the internet, this examines, social media, the online"
bertopic,65,105,"ct, schizophrenia, psychosis, relationship ct, fep, lifestyle, cortical, antipsychotic",0.06666666666666667,2,4,-5.84279170879085,"has been, the relationship, the present, and healthy, the impact, and with, with schizophrenia, aimed investigate"
bertopic,66,103,"aud, drinking, drink, alcoholrelated, consumption, alcohol consumption, alcohol problem, alcohol misuse",0.10344827586206896,3,8,-5.768620792241292,"and alcohol, has been, with alcohol, alcohol consumption, the current, the alcohol, for alcohol, the development"
bertopic,67,100,"alexithymia, toronto, toronto alexithymia, ta, feeling, alexithymia ta, difficulty identify, somatic",0.03225806451612903,1,7,-5.4213811170353665,"and alexithymia, the relationship, the role, the alexithymia, role alexithymia, toronto alexithymia, the toronto, alexithymia with"
bertopic,68,100,"pregnancy, postpartum, perinatal, unintended, teenage pregnancy, unintended pregnancy, pregnant, teenage",0.10344827586206896,3,9,-5.712503543628339,"during pregnancy, pregnant women, and postpartum, women with, and pregnancy, the current, the role, the pregnancy"
bertopic,69,98,"prevention program, schoolbased, skill, curriculum, implementation, effectiveness, safety, posttest",0.06666666666666667,2,11,-5.941622636049883,"prevention program, prevention programs, the effectiveness, the prevention, the this, this aimed, csa prevention, was conducted"
bertopic,70,97,"ptg, heal, inquiry, recovery, growth, posttraumatic growth, redress, theme",0.03225806451612903,1,3,-6.2160650425081085,"for survivors, survivors this, the lived, the this, experiences survivors, the current, the survivor, and survivors"
bertopic,71,97,"domestic, domestic violence, dv, witness domestic, witness, coercive, experience domestic, victim domestic",0.10344827586206896,3,11,-5.938685028777936,"domestic violence, and domestic, violence against, the domestic, exposure domestic, against women, the relationship, nationally representative"
bertopic,72,96,"aggression, aggressive, reactive, relational aggression, trait, anger, proactive, relational",0.0,0,7,-5.995215082493719,"and aggression, has been, the aggression, the relationship, this aimed, the role, aggression with, the mediating"
bertopic,73,95,"caregiver, caregiver support, caregiver experience, caregiverchild, nonoffending, caregiving, family caregiver, experience caregiver",0.03225806451612903,1,5,-6.07435020118372,"have been, the current, and their, and caregiver, and caregivers, the present, who have, adverse experiences"
bertopic,74,94,"infant, motherinfant, maternal, mother, postpartum, bonding, birth, bond",0.03225806451612903,1,8,-5.899353155884554,"and infant, and their, the relationship, adverse experiences, during pregnancy, the maternal, with infant, have been"
bertopic,75,94,"family member, family function, family environment, family dynamic, incest, family origin, family relationship, cohesion",0.0,0,8,-6.008558148122834,"the family, and family, the this, family members, the relationship, and their, the experiences, the current"
bertopic,76,93,"narrative, story, autonomy, psychoanalysis, write, voice, writing, conception",0.0,0,4,-6.674478912755137,"this paper, interviews with, the narratives, and narratives, the most, the story, this essay, this examines"
bertopic,77,91,"aor, aor ci, ci aor, ethiopia, adjust, adjust aor, multivariable, birth",0.0,0,2,-5.9105970855151995,"logistic regression, this aimed, was conducted, the this, the relationship, adverse experiences, and this, and problems"
bertopic,78,91,"selfcompassion, compassion, shame, selfcriticism, mindfulness, gratitude, mediate role, posttraumatic growth",0.03225806451612903,1,4,-5.9117687320694925,"the mediating, the relationship, mediating role, the present, this aimed, the current, has been, and depression"
bertopic,79,91,"latent profile, latent, profile identify, distinct profile, fatigue, lpa, subgroup, morning",0.03225806451612903,1,8,-5.698928687009662,"latent profile, distinct profiles, the current, adverse experiences, and latent, known about, identify profiles, and examine"
bertopic,80,89,"date violence, perpetration, dv, cyber, violence perpetration, victimization perpetration, violence victimization, romantic",0.06666666666666667,2,10,-5.71661987672536,"dating violence, and dating, the relationship, violence perpetration, the present, the this, college students, the current"
bertopic,81,88,"childbirth, maternity, mistreatment, obstetric, respectful, birth, facility, delivery",0.0,0,7,-5.487433192482953,"during childbirth, maternity care, women during, obstetric violence, was conducted, respectful maternity, mistreatment women, women experiences"
bertopic,82,87,"cptsd, ptsd cptsd, icd, complex posttraumatic, dso, complex ptsd, posttraumatic cptsd, ptsd complex",0.18518518518518517,5,11,-5.098983814927629,"complex ptsd, complex posttraumatic, posttraumatic cptsd, and complex, ptsd cptsd, and cptsd, posttraumatic ptsd, complex cptsd"
bertopic,83,87,"experience adverse, household dysfunction, capital, deviant, frailty, social capital, dementia, relationship adverse",0.06666666666666667,2,8,-5.496934678815592,"adverse experiences, the adverse, and adverse, experiences have, adverse experience, the relationship, have been, the impact"
bertopic,84,86,"cortical, matter, thickness, cortical thickness, gray, gray matter, volume, white matter",0.10344827586206896,3,4,-5.562314754322454,"white matter, cortical thickness, have been, gray matter, resonance imaging, magnetic resonance, the current, been with"
bertopic,85,85,"men woman, masculinity, gay, msm, woman men, gay men, minority, men men",0.0,0,5,-6.319958483415899,"who have, and women, men with, have with, the present, men from, men this, was conducted"
bertopic,86,83,"selfharm, harm, selfharm suicide, deliberate selfharm, deliberate, attempt, suicide attempt, repetition",0.0,0,4,-6.247235126667928,"and were, the relationship, and with, this aimed, adverse experiences, young people, and suicidal, and suicide"
bertopic,87,83,"schizophrenia, schizophrenia spectrum, psychosis, spectrum, psychotic, social functioning, functioning, panss",0.03225806451612903,1,8,-5.547241222102934,"with schizophrenia, schizophrenia spectrum, the relationship, and healthy, for schizophrenia, and schizophrenia, schizophrenia with, and negative"
bertopic,88,82,"node, bridge, central, network structure, social network, centrality, strength, network approach",0.06666666666666667,2,4,-5.933454370244614,"network approach, the relationship, the complex, the development, the impact, remains unclear, the network, network structure"
bertopic,89,82,"bully, bullying, bully victimization, perpetration, peer bully, workplace, experience bully, cyberbullying",0.0,0,8,-5.743365577004836,"and bullying, bullying victimization, the bullying, the relationship, bullying perpetration, the mediating, the this, the current"
bertopic,90,81,"gut, microbiome, ibs, axis, composition, gut microbiome, bowel, bowel syndrome",0.10344827586206896,3,6,-5.268816722596622,"gut microbiota, the axis, maternal separation, irritable bowel, bowel syndrome, gut microbiome, has been, the role"
bertopic,91,78,"workplace, nurse, healthcare, worker, healthcare worker, verbal, staff, occupational",0.0,0,10,-5.7375524797596915,"workplace violence, violence against, healthcare workers, and their, this aimed, and workplace, the this, the workplace"
bertopic,92,77,"genetic, gene, polymorphism, geneenvironment, genotype, val, polygenic, val meet",0.0,0,8,-5.93075858066504,"has been, and environmental, the interaction, the present, and genetic, the gene, have been, the relationship"
bertopic,93,76,"ocd, obsessivecompulsive, obsessive compulsive, obsessive, compulsive, contamination, compulsion, onset",0.03225806451612903,1,2,-5.294665171548217,"ocd with, the relationship, and healthy, obsessive compulsive, this aimed, the present, the this, has been"
bertopic,94,75,"reward, task, neural, processing, reward sensitivity, decisionmaking, striatum, monetary",0.03225806451612903,1,8,-5.906727649290268,"reward processing, and reward, neural reward, the development, and with, has been, the present, reward learning"
bertopic,95,74,"sibling, ssa, incest, intrafamilial, harmful, disclosure, professional, familial",0.0,0,6,-6.083204992792237,"the sibling, the family, the most, this paper, the context, sibling relationships, the current, has been"
bertopic,96,73,"addiction, internet addiction, internet, game, smartphone, ia, college student, problematic internet",0.03225806451612903,1,5,-5.330800388962939,"the relationship, internet addiction, and internet, the mediating, has been, college students, mediating role, this aimed"
bertopic,97,73,"cop strategy, cop style, style, religious, coping, avoidant, coping style, fatigue",0.03225806451612903,1,8,-5.622525181286791,"coping strategies, and coping, coping styles, the relationship, the this, the role, this aimed, the impact"
bertopic,98,68,"infection, genital, vaginal, lesion, sti, yearold, sexually, rare",0.0,0,3,-5.959692019358538,"sexually transmitted, transmitted infections, presented with, human papillomavirus, have been, with history, the pediatric, chlamydia trachomatis"
bertopic,99,67,"adhd, hyperactivity, deficit hyperactivity, attentiondeficit, attentiondeficit hyperactivity, hyperactivity adhd, attention deficit, deficit",0.10344827586206896,3,12,-5.188026040706565,"hyperactivity adhd, attention deficit, deficit hyperactivity, with adhd, and adhd, the relationship, the adhd, and hyperactivity"
bertopic,100,67,"medium, social medium, metoo, news, discourse, movement, coverage, digital",0.0,0,7,-5.941939829115801,"social media, and social, the media, this examines, the metoo, metoo movement, the most, media attention"
bertopic,101,67,"divorce, alienation, parental education, parental divorce, pa, paternal, violence parental, warmth",0.06666666666666667,2,8,-6.0327868551425965,"and parental, the parental, the this, has been, and their, the impact, have been, parenting styles"
bertopic,102,66,"deprivation, threat deprivation, deprivation threat, dimensional, ela, development deprivation, neural development, neural",0.0,0,7,-5.791877607302896,"and deprivation, the dimensional, and threat, and psychopathology, with psychopathology, has been, deprivation with, dimensions threat"
bertopic,103,65,"racial, black, american, discrimination, white, racial discrimination, african american, race",0.10344827586206896,3,14,-5.968492580391628,"racial ethnic, african american, racial disparities, the united, united states, racial discrimination, and racial, and ethnic"
bertopic,104,61,"hr ci, hr, ci ci, schoolchildren, mortality, intercourse, rr ci, difference ci",0.0,0,1,-6.281799347962515,"was conducted, and with, nationally representative, and older, logistic regression, design setting, and were, was with"
lda,0,4,"white matter, fa, diffusion, white, matter, wm, callous, unemotional",0.06060606060606061,2,8,-4.129708586474887,"white matter, diffusion tensor, tensor imaging, fractional anisotropy, matter microstructural, typically developing, matter microstructure, matter changes"
lda,4,26,"validity, reliability, psychometric, item, internal consistency, consistency, psychometric property, property",0.029411764705882353,1,9,-5.162996826746013,"psychometric properties, and reliability, the this, short form, the psychometric, the form, internal consistency, the validity"
lda,15,19,"suicidal, suicide, ideation, suicidal ideation, attempt, suicide attempt, nssi, self injury",0.06060606060606061,2,10,-5.079895987318394,"suicidal ideation, suicide attempts, and suicidal, and suicide, and nssi, with suicidal, suicidal thoughts, the relationship"
lda,23,2165,"gene, maternal, early, early life, expression, cortisol, life, rat",0.029411764705882353,1,4,-6.222300141403915,"has been, maternal separation, the development, have been, hpa axis, the present, dna methylation, the impact"
lda,38,4420,"ace, experience, ci, adverse, adverse experience, violence, exposure, substance",0.0,0,4,-6.004726961411787,"adverse experiences, experiences aces, the relationship, intimate partner, partner violence, the this, have been, this aimed"
lda,52,6329,"depression, relationship, ptsd, self, experience, mediate, anxiety, emotion",0.0,0,7,-6.288780612738648,"the relationship, has been, the role, the mediating, the present, the current, this aimed, mediating role"
lda,60,1,"seizure, psychogenic, epilepsy, pnes, functional neurological, nonepileptic, neurological, nonepileptic seizure",0.029411764705882353,1,7,-3.5835189384561095,"death loved, loved potential, for onset, onset functional, functional seizures, seizures functional, are functional, functional neurological"
lda,77,6468,"violence, victim, woman, experience, care, interview, practice, social",0.0,0,3,-6.866377397480754,"the this, has been, intimate partner, partner violence, this paper, have been, the current, and their"
lda,78,284,"connectivity, functional, cortex, amygdala, functional connectivity, neural, magnetic, resonance",0.06060606060606061,2,7,-5.532218600946446,"functional connectivity, major depressive, magnetic resonance, and healthy, resonance imaging, functional magnetic, and functional, the neural"
nmf,0,1,"mediate, mediation, role, relationship, mediate role, mediate relationship, mediator, moderate",0.0,0,6,-3.5835189384561095,"with problematic, problematic smartphone, the mediating, mediating role, role rejection, rejection sensitivity, and depressive, depressive critical"
nmf,1,160,"violence, domestic, domestic violence, violence woman, experience violence, family violence, witness, family",0.16666666666666666,5,12,-6.006359503643143,"domestic violence, violence against, and domestic, the this, and violence, against women, the domestic, violence during"
nmf,2,116,"work, professional, worker, practice, service, protection, healthcare, social work",0.029411764705882353,1,10,-6.182562698552418,"social workers, social work, working with, workplace violence, the this, the most, who work, the current"
nmf,3,643,"ipv, partner, intimate, intimate partner, partner violence, violence ipv, violence, perpetration",0.12903225806451613,4,10,-5.724160270664797,"intimate partner, partner violence, and intimate, the relationship, has been, the current, the this, violence against"
nmf,4,923,"ace, adverse experience, adverse, experience ace, experience, household, dysfunction, household dysfunction",0.029411764705882353,1,5,-5.360046098111159,"adverse experiences, experiences aces, the adverse, the relationship, the aces, have been, are with, aces have"
nmf,5,315,"suicide, suicidal, ideation, suicidal ideation, attempt, suicide attempt, suicidality, thought",0.09375,3,11,-5.482842390625951,"suicidal ideation, and suicidal, and suicide, suicide attempts, suicide attempt, the relationship, with suicidal, suicidal thoughts"
nmf,6,397,"ptsd, posttraumatic, posttraumatic stress, stress disorder, disorder, stress, posttraumatic ptsd, cptsd",0.06060606060606061,2,10,-5.690480668088055,"posttraumatic ptsd, and ptsd, with ptsd, and posttraumatic, has been, for ptsd, the current, complex ptsd"
nmf,7,206,"functional, connectivity, functional connectivity, resting state, resting, cortex, neural, state",0.06060606060606061,2,8,-5.62065600969379,"functional connectivity, major depressive, magnetic resonance, resonance imaging, functional magnetic, and functional, the neural, and healthy"
nmf,8,216,"life, early, early life, development, developmental, later, ela, mechanism",0.0,0,1,-6.293880319259454,"maternal separation, the development, have been, has been, the present, limited bedding, the impact, the underlying"
nmf,9,93,"parent, parental, family, mother, child, father, parenting, parent child",0.0,0,6,-6.066125405559334,"has been, the relationship, the current, this examines, the parental, and parenting, the impact, the present"
nmf,10,33,"psychosis, schizophrenia, psychotic, episode, episode psychosis, first episode, first, fep",0.06060606060606061,2,8,-5.366319818436762,"for psychosis, has been, schizophrenia spectrum, with psychosis, the relationship, with schizophrenia, episode psychosis, and with"
nmf,11,42,"victimization, peer, bully, perpetration, peer victimization, aggression, date, date violence",0.06060606060606061,2,7,-5.652274997635363,"peer victimization, the relationship, and cyberbullying, the present, the mediating, and peer, the moderating, mediating role"
nmf,12,126,"rat, maternal separation, separation, maternal, mouse, expression, like, el",0.029411764705882353,1,4,-5.930688159270907,"maternal separation, prefrontal cortex, and rats, has been, medial prefrontal, the present, have been, maternal deprivation"
nmf,13,218,"cortisol, axis, hpa, hpa axis, pituitary, adrenal, pituitary adrenal, hypothalamic",0.029411764705882353,1,8,-5.914584085568238,"hpa axis, has been, have been, hair cortisol, and cortisol, the axis, the relationship, adverse experiences"
nmf,14,21,"csa, survivor, csa survivor, disclosure, experience csa, survivor csa, history csa, csa experience",0.0,0,5,-5.696985115133755,"csa survivors, the this, who experienced, experiences with, csa have, the current, and setting, experienced survivors"
