bertopic_id,display_name,term,paradigm_support
32,"Psychometric, Psychometric Property, Internal Consistency, Property",psychometric,4
32,"Psychometric, Psychometric Property, Internal Consistency, Property",psychometric property,4
32,"Psychometric, Psychometric Property, Internal Consistency, Property",internal consistency,4
32,"Psychometric, Psychometric Property, Internal Consistency, Property",property,4
32,"Psychometric, Psychometric Property, Internal Consistency, Property",consistency,4
32,"Psychometric, Psychometric Property, Internal Consistency, Property",internal,4
32,"Psychometric, Psychometric Property, Internal Consistency, Property",validity,3
32,"Psychometric, Psychometric Property, Internal Consistency, Property",reliability,3
32,"Psychometric, Psychometric Property, Internal Consistency, Property",item,3
33,"Dissociation, Dissociative, Dissociative Experience, Identity",dissociation,3
33,"Dissociation, Dissociative, Dissociative Experience, Identity",dissociative,4
33,"Dissociation, Dissociative, Dissociative Experience, Identity",dissociative experience,3
33,"Dissociation, Dissociative, Dissociative Experience, Identity",identity,3
33,"Dissociation, Dissociative, Dissociative Experience, Identity",dissociative identity,3
33,"Dissociation, Dissociative, Dissociative Experience, Identity",amnesia,3
35,"Disability, Intellectual, Intellectual Disability, Id",disability,3
35,"Disability, Intellectual, Intellectual Disability, Id",intellectual,3
35,"Disability, Intellectual, Intellectual Disability, Id",intellectual disability,3
35,"Disability, Intellectual, Intellectual Disability, Id",id,3
35,"Disability, Intellectual, Intellectual Disability, Id",sexuality,4
36,Image-based sexual abuse,image,3
36,Image-based sexual abuse,revenge,3
36,Image-based sexual abuse,pornography,3
36,Image-based sexual abuse,digital,3
38,"Sport, Athlete, Coach, Harassment",sport,3
38,"Sport, Athlete, Coach, Harassment",athlete,3
38,"Sport, Athlete, Coach, Harassment",coach,3
38,"Sport, Athlete, Coach, Harassment",harassment,3
38,"Sport, Athlete, Coach, Harassment",interpersonal violence,3
39,Maternal & infant mental health,mother,3
39,Maternal & infant mental health,intergenerational,3
39,Maternal & infant mental health,father,3
39,Maternal & infant mental health,parenting,3
40,"Depression Anxiety, Anxiety Depression, Anxiety Depressive, Trait Anxiety",depression anxiety,3
40,"Depression Anxiety, Anxiety Depression, Anxiety Depressive, Trait Anxiety",anxiety depression,3
40,"Depression Anxiety, Anxiety Depression, Anxiety Depressive, Trait Anxiety",inventory,3
40,"Depression Anxiety, Anxiety Depression, Anxiety Depressive, Trait Anxiety",depression,3
41,"Externalize, Internalize, Internalize Externalize, Externalize Problem",externalize,3
41,"Externalize, Internalize, Internalize Externalize, Externalize Problem",internalize,3
41,"Externalize, Internalize, Internalize Externalize, Externalize Problem",internalize externalize,3
41,"Externalize, Internalize, Internalize Externalize, Externalize Problem",externalize problem,3
41,"Externalize, Internalize, Internalize Externalize, Externalize Problem",internalize problem,3
41,"Externalize, Internalize, Internalize Externalize, Externalize Problem",externalize internalize,3
42,College students & campus prevention,college,3
42,College students & campus prevention,college student,3
44,"Elder, Mistreatment, Elderly, Financial",elder,3
45,Adverse childhood experiences (ACE),foster,3
45,Adverse childhood experiences (ACE),foster care,3
45,Adverse childhood experiences (ACE),placement,3
45,Adverse childhood experiences (ACE),welfare,3
45,Adverse childhood experiences (ACE),home,3
46,"Perceive Social, Role Social, Support Depressive, Buffer",perceive social,3
50,"Trait, Personality Trait, Personality Function, Personality Pathology",trait,3
50,"Trait, Personality Trait, Personality Function, Personality Pathology",personality trait,3
50,"Trait, Personality Trait, Personality Function, Personality Pathology",neuroticism,3
52,"Selfesteem, Rosenberg, Rosenberg Selfesteem, Role Selfesteem",rosenberg,3
52,"Selfesteem, Rosenberg, Rosenberg Selfesteem, Role Selfesteem",esteem,4
52,"Selfesteem, Rosenberg, Rosenberg Selfesteem, Role Selfesteem",self esteem,3
52,"Selfesteem, Rosenberg, Rosenberg Selfesteem, Role Selfesteem",self,3
54,"Veteran, Military, Combat, Military Veteran",military,3
58,"Inflammation, Il, Inflammatory, Cytokine",inflammation,4
58,"Inflammation, Il, Inflammatory, Cytokine",il,4
58,"Inflammation, Il, Inflammatory, Cytokine",inflammatory,4
58,"Inflammation, Il, Inflammatory, Cytokine",cytokine,4
58,"Inflammation, Il, Inflammatory, Cytokine",immune,4
58,"Inflammation, Il, Inflammatory, Cytokine",crp,3
58,"Inflammation, Il, Inflammatory, Cytokine",marker,3
59,"Intimate, Intimate Partner, Partner Violence, Coercive",violence woman,3
59,"Intimate, Intimate Partner, Partner Violence, Coercive",domestic,3
59,"Intimate, Intimate Partner, Partner Violence, Coercive",domestic violence,3
60,"Disease, Cardiovascular, Heart, Cardiovascular Disease",disease,4
60,"Disease, Cardiovascular, Heart, Cardiovascular Disease",cardiovascular,4
60,"Disease, Cardiovascular, Heart, Cardiovascular Disease",cardiovascular disease,3
60,"Disease, Cardiovascular, Heart, Cardiovascular Disease",cvd,3
61,College students & campus prevention,subjective,3
61,College students & campus prevention,satisfaction,3
63,"Executive, Executive Function, Ef, Work Memory",executive,3
63,"Executive, Executive Function, Ef, Work Memory",executive function,3
63,"Executive, Executive Function, Ef, Work Memory",work memory,4
63,"Executive, Executive Function, Ef, Work Memory",performance,3
63,"Executive, Executive Function, Ef, Work Memory",memory,4
63,"Executive, Executive Function, Ef, Work Memory",deficit,3
63,"Executive, Executive Function, Ef, Work Memory",task,3
74,Maternal & infant mental health,infant,3
74,Maternal & infant mental health,maternal,3
74,Maternal & infant mental health,mother,3
74,Maternal & infant mental health,postpartum,3
74,Maternal & infant mental health,birth,3
74,Maternal & infant mental health,pregnancy,3
77,"Aor, Aor Ci, Ci Aor, Ethiopia",aor,3
77,"Aor, Aor Ci, Ci Aor, Ethiopia",aor ci,3
77,"Aor, Aor Ci, Ci Aor, Ethiopia",ci aor,4
77,"Aor, Aor Ci, Ci Aor, Ethiopia",adjust,3
77,"Aor, Aor Ci, Ci Aor, Ethiopia",adjust aor,3
77,"Aor, Aor Ci, Ci Aor, Ethiopia",ci,3
80,College students & campus prevention,date violence,3
80,College students & campus prevention,perpetration,3
82,"Cptsd, Ptsd Cptsd, Icd, Complex Posttraumatic",cptsd,3
84,"Cortical, Matter, Thickness, Cortical Thickness",cortical,3
84,"Cortical, Matter, Thickness, Cortical Thickness",matter,4
84,"Cortical, Matter, Thickness, Cortical Thickness",thickness,3
84,"Cortical, Matter, Thickness, Cortical Thickness",volume,3
86,Suicidality & suicidal ideation,attempt,3
86,Suicidality & suicidal ideation,suicide attempt,3
87,Psychosis & psychotic-like experiences,schizophrenia,3
87,Psychosis & psychotic-like experiences,psychosis,3
92,"Genetic, Gene, Polymorphism, Geneenvironment",genetic,3
92,"Genetic, Gene, Polymorphism, Geneenvironment",gene,3
92,"Genetic, Gene, Polymorphism, Geneenvironment",polymorphism,3
92,"Genetic, Gene, Polymorphism, Geneenvironment",genotype,3
92,"Genetic, Gene, Polymorphism, Geneenvironment",polygenic,4
93,"Ocd, Obsessivecompulsive, Obsessive Compulsive, Obsessive",ocd,3
93,"Ocd, Obsessivecompulsive, Obsessive Compulsive, Obsessive",obsessive compulsive,3
93,"Ocd, Obsessivecompulsive, Obsessive Compulsive, Obsessive",obsessive,3
93,"Ocd, Obsessivecompulsive, Obsessive Compulsive, Obsessive",compulsive,3
94,"Reward, Task, Neural, Processing",neural,3
100,"Medium, Social Medium, Metoo, News",medium,3
100,"Medium, Social Medium, Metoo, News",discourse,3
103,Adverse childhood experiences (ACE),racial,3
103,Adverse childhood experiences (ACE),black,3
103,Adverse childhood experiences (ACE),american,3
103,Adverse childhood experiences (ACE),discrimination,3
103,Adverse childhood experiences (ACE),white,3
103,Adverse childhood experiences (ACE),african american,3
103,Adverse childhood experiences (ACE),race,3
103,Adverse childhood experiences (ACE),ethnic,3
103,Adverse childhood experiences (ACE),disparity,3
