topic,display_label,n_documents,macro_tradition,lda_top_terms,top_noun_phrases
3,"Substance, Alcohol, Pain, Drug",538,"Substance use, pain & HIV","substance, alcohol, pain, drug, history, woman, hiv, chronic, men, opioid, cannabis, use","alcohol consumption, binge drinking, partner violence, intimate partner violence, young adulthood"
16,"Victimization, Peer, Girl, Bully",477,Other / mixed,"victimization, peer, girl, bully, beta, problem, risk, cop, behavior, chinese, social, type","peer victimization, bullying victimization, linear regression"
1,"Suicide, Cm, Attempt, Suicidal",474,Suicide & self-harm,"suicide, cm, attempt, suicidal, suicide attempt, veteran, history, ct, ideation, military, aggression, sa","suicidal ideation, suicide ideation, major depression, suicide prevention"
0,"Victim, Interview, Disclosure, Medium",463,Forensic disclosure & digital abuse,"victim, interview, disclosure, medium, forensic, question, narrative, identity, social, stigma, response, perpetrator","csa disclosure, rapport building, metoo movement"
19,"Psychosis, Schizophrenia, Experience, Psychotic",453,Psychosis & dissociation,"psychosis, schizophrenia, experience, psychotic, dissociation, dissociative, episode, meta, illness, genetic, dental, event","linear regression, premorbid adjustment, after controlling, global functioning"
6,"Functional, Connectivity, Network, State",404,Other / mixed,"functional, connectivity, network, state, functional connectivity, cluster, neural, development, learn, amygdala, image, machine","functional connectivity, magnetic resonance, resonance imaging, magnetic resonance imaging, functional magnetic resonance, machine learning, functional magnetic resonance imaging, tensor imaging"
28,"Personality, Trait, Bpd, Bipolar",377,Other / mixed,"personality, trait, bpd, bipolar, borderline, borderline personality, bd, mood, feature, severity, pd, affective","borderline personality, depression rating, emotion recognition, suicidal ideation, facial emotion"
12,"Student, College, Validity, College Student",326,Other / mixed,"student, college, validity, college student, item, version, psychometric, reliability, form, correlation, ctq, property","convergent validity, reliability and validity, validity and reliability, construct validity, concurrent validity, development and validation"
22,"Sport, Religious, Church, Athlete",260,Other / mixed,"sport, religious, church, athlete, catholic, coach, theory, sexuality, harassment, cultural, institutional, culture","interpersonal violence, about sexuality"
31,"Disability, Offender, Internalize, Externalize",175,Other / mixed,"disability, offender, internalize, externalize, crime, problem, offend, rape, intellectual, oxytocin, victim, efficacy","internalizing and externalizing, intellectual disability, myth acceptance, rape myth acceptance"
27,"Age, Old, Socioeconomic, Disease",170,Other / mixed,"age, old, socioeconomic, disease, status, adulthood, life, socioeconomic status, mortality, course, trajectory, middle","china and retirement, biological aging, accelerated biological aging, accelerated aging, epigenetic aging, dna methylation"
18,"Self, Pregnancy, Injury, Nssi",169,Other / mixed,"self, pregnancy, injury, nssi, harm, woman, self harm, self injury, postpartum, non, pregnant, perinatal","suicidal ideation, postpartum depression, postnatal depression, edinburgh postnatal depression, emotion regulation"
7,"Parent, Parental, Child, Father",162,"Family, maternal & infant development","parent, parental, child, father, family, fear, program, parenting, punishment, mother, parent child, decision","corporal punishment, positive parenting, harsh parenting"
17,"Suicidal, Ideation, Suicidal Ideation, Esteem",124,Suicide & self-harm,"suicidal, ideation, suicidal ideation, esteem, self esteem, self, violent, ocd, compulsive, obsessive, obsessive compulsive, migrant","suicidal ideation, suicide ideation, equation modeling"
20,"Eat, Addiction, Ed, Internet",92,Other / mixed,"eat, addiction, ed, internet, adhd, transgender, autistic, deficit, attention, csam, autism, hyperactivity","deficit hyperactivity, attention deficit hyperactivity, internet addiction, binge eating, examine the relationship, beck depression"
15,"Sleep, Quality, Sibling, Disturbance",83,Other / mixed,"sleep, quality, sibling, disturbance, duration, length, insomnia, sleep quality, telomere, sleep disturbance, telomere length, mir","sleep quality, pittsburgh sleep quality, sleep duration, sleep disturbance, linear regression, poor sleep quality, cellular aging, chain reaction"
10,"Network, Central, Syndrome, Functional",47,Other / mixed,"network, central, syndrome, functional, seizure, strength, fatigue, neurological, co, connection, complex, bridge","network structure, partial correlation, network stability, functional movement, cluster sampling, expected influence, regularized partial correlation, bridge centrality"
23,"Justice, Elder, Being, Impulsivity",31,Other / mixed,"justice, elder, being, impulsivity, well being, well, somatic, system, mistreatment, ea, criminal, cost","system involvement, role resilience, equation modeling, mediated the relationship"
