topic,display_name,n_docs_P1,n_docs_P4,js_divergence_P1_vs_P4,entering_terms_P4,leaving_terms_P4,composition_class
30,"Emotion Regulation, Dysregulation, Emotion Dysregulation, Regulation Strategy",20,43,0.5571443852159089,"men, borderline, network, ace, personality","premenstrual, cd, representation, pnes, self-esteem",composition_stable
8,"Worker, Protection, Social Work, Social Worker",41,59,0.5479455724300998,"labour, hour, healthcare, fme, mr","cp, household, recurrence, psb, paediatrician",composition_stable
6,"Attachment, Attachment Style, Style, Insecure",29,71,0.5451890626470447,"ace, mistrust, surgery, cosmetic, defense","csa, pv, passion, connect, migraine",composition_stable
80,College students & campus prevention,15,21,0.5403826308905728,"digital, online, marsha-sf, dda, ara","disengagement, moral, teenager, later, loss",composition_stable
2,PTSD treatment (EMDR / trauma-focused CBT),68,91,0.5369373693546589,"acid, beta, c-ptsd, cluster, couple","pediatric, bias, hippocampal, refugee, tcvns",composition_stable
58,"Inflammation, Il, Inflammatory, Cytokine",23,21,0.534857338938977,"mtbi, potential, pacap, oxidative, methamphetamine","ml, ng, sli, eca, cardiometabolic",composition_stable
10,Epigenetics & DNA methylation,43,32,0.5245807833611695,"preterm, pubertal, exercise, diabetes, timing","gr, father, antidepressant, oxytocin, attachment",composition_stable
11,"Cortisol, Hpa, Axis, Hpa Axis",47,37,0.5017417827459534,"sa, val, tinnitus, kitten, episode","pituitary, chr, offspring, egg, ad",composition_stable
24,"Interviewer, Forensic Interview, Investigative, Forensic",30,36,0.48832917757393024,"invitation, expert, human, llm, suspect","yes, speech, love, clinician, recognition",composition_stable
15,"Hiv, Live Hiv, Adherence, Hiv Aid",35,39,0.47751964192330953,"pwh, pathway, contraceptive, phenotype, needle","aya, ipt, hiv-positive, pep, phiv",composition_stable
4,Intimate partner violence,40,80,0.42837311903681796,"ace, healthcare, father, dysregulation, non-physical","vac, communication, welfare, ce-ipv, animal",composition_stable
0,Maternal & infant mental health,141,171,0.3596850336189463,"trpv, piglet, hsp, mtdna, sirt","sert, matsep, right, lhb, homer",composition_stable
1,Adverse childhood experiences (ACE),76,203,0.34771930395713957,"multimorbidity, dementia, offspring, middle-aged, hr","stiffness, arterial, self-efficacy, metacognition, cshcn",composition_stable
